Year,Make,Type,Model,ColorName,Color,ColorCode,Locale
1989,Acura,DETAIL,Integra,Almond Cream,YR-88,#F3DFBF,En-US
1989,Acura,DETAIL,Integra,Asturias Gray Metallic,NH-502M,#7B7C7F,En-US
1989,Acura,DETAIL,Integra,Blade Silver Metallic,NH-95M,#D2D2D6,En-US
1989,Acura,DETAIL,Integra,Cardinal Red Metallic,R-66M,#B0161D,En-US
1989,Acura,DETAIL,Integra,Chianti Red Metallic,R-67M,#9B1806,En-US
1989,Acura,DETAIL,Integra,Flint Black Metallic,NH-526M,#050505,En-US
1989,Acura,DETAIL,Integra,Laguna Gold Metallic,YR-87M,#D6C292,En-US
1989,Acura,DETAIL,Integra,Melbourne Blue Metallic,B-50M,#C0C0C0,En-US
1989,Acura,DETAIL,Integra,Polar White,NH-512Z,#FFFEF1,En-US
1989,Acura,DETAIL,Integra,Rio Red,R-63,#E21414,En-US
1989,Acura,DETAIL,Integra,Superior Blue Metallic,B-47M,#B4C6E0,En-US
1989,Acura,DETAIL,Legend,Asturias Gray Metallic,NH-502M,#7B7C7F,En-US
1989,Acura,DETAIL,Legend,Bahama Gold Metallic,YR-82M,#D7CA97,En-US
1989,Acura,DETAIL,Legend,Chateau Red Metallic,R-61M,#AD1349,En-US
1989,Acura,DETAIL,Legend,Ebony Black Metallic,NH-514M,#0C0C0C,En-US
1989,Acura,DETAIL,Legend,Florence Blue Metallic,B-37M,#437387,En-US
1989,Acura,DETAIL,Legend,Geneva Green Pearl,G-62P,#233D2A,En-US
1989,Acura,DETAIL,Legend,Granada Black Metallic,NH-503P,#151517,En-US
1989,Acura,DETAIL,Legend,Laurel Blue Metallic,B-49M,#5A7596,En-US
1989,Acura,DETAIL,Legend,Melbourne Blue Metallic,B-50M,#C0C0C0,En-US
1989,Acura,DETAIL,Legend,Mirage Silver Metallic  (Lower Accent),NH-84M,#D9DAE1,En-US
1989,Acura,DETAIL,Legend,Nobel Silver Metallic,NH-516M,#D6D9DC,En-US
1989,Acura,DETAIL,Legend,Olympia White,NH-509,#FBFBFF,En-US
1989,Acura,DETAIL,Legend,Persian Red Metallic,R-65P,#632316,En-US
1989,Acura,DETAIL,Legend,Phoenix Red,R-51,#C00000,En-US
1989,Acura,DETAIL,Legend,Seattle Silver Metallic,YR-94M,#999685,En-US
