Name,Description,Locale
Acura,ACURA,en-US
Alfa Romeo,ALFA ROMEO,en-US
AMC,AMC,en-US
Aston Martin,ASTON MARTIN,en-US
Audi,AUDI,en-US
Bentley,BENTLEY,en-US
BMW,BMW,en-US
Buick,BUICK,en-US
Cadillac,CADILLAC,en-US
Chevrolet,CHEVROLET,en-US
Chrysler,CHRYSLER,en-US
Daewoo,DAEWOO,en-US
Datsun,DATSUN,en-US
DeLorean,DELOREAN,en-US
Dodge,DODGE,en-US
Eagle,EAGLE,en-US
Ferrari,FERRARI,en-US
FIAT,FIAT,en-US
Fisker,FISKER,en-US
Ford,FORD,en-US
Freightliner,FREIGHTLINER,en-US
Geo,GEO,en-US
GMC,GMC,en-US
Honda,HONDA,en-US
HUMMER,HUMMER,en-US
Hyundai,HYUNDAI,en-US
Infiniti,INFINITI,en-US
Isuzu,ISUZU,en-US
Jaguar,JAGUAR,en-US
Jeep,JEEP,en-US
Kia,KIA,en-US
Lamborghini,LAMBORGHINI,en-US
Land Rover,LAND ROVER,en-US
Lexus,LEXUS,en-US
Lincoln,LINCOLN,en-US
Lotus,LOTUS,en-US
Maserati,MASERATI,en-US
Maybach,MAYBACH,en-US
Mazda,MAZDA,en-US
McLaren,MCLAREN,en-US
Mercedes-Benz,MERCEDES-BENZ,en-US
Mercury,MERCURY,en-US
MINI,MINI,en-US
Mitsubishi,MITSUBISHI,en-US
Nissan,NISSAN,en-US
Oldsmobile,OLDSMOBILE,en-US
Plymouth,PLYMOUTH,en-US
Pontiac,PONTIAC,en-US
Porsche,PORSCHE,en-US
RAM,RAM,en-US
Rolls-Royce,ROLLS-ROYCE,en-US
Saab,SAAB,en-US
Saturn,SATURN,en-US
Scion,SCION,en-US
smart,SMART,en-US
SRT,SRT,en-US
Subaru,SUBARU,en-US
Suzuki,SUZUKI,en-US
Tesla,TESLA,en-US
Toyota,TOYOTA,en-US
Volkswagen,VOLKSWAGEN,en-US
Volvo,VOLVO,en-US
Yugo,YUGO,en-US
