Year,Make,Locale
1981,Alfa Romeo,en-US
1981,AMC,en-US
1981,Audi,en-US
1981,BMW,en-US
1981,Buick,en-US
1981,Cadillac,en-US
1981,Chevrolet,en-US
1981,Chrysler,en-US
1981,Datsun,en-US
1981,DeLorean,en-US
1981,Dodge,en-US
1981,Ferrari,en-US
1981,FIAT,en-US
1981,Ford,en-US
1981,GMC,en-US
1981,Honda,en-US
1981,Isuzu,en-US
1981,Jaguar,en-US
1981,Jeep,en-US
1981,Lincoln,en-US
1981,Mazda,en-US
1981,Mercedes-Benz,en-US
1981,Mercury,en-US
1981,Oldsmobile,en-US
1981,Plymouth,en-US
1981,Pontiac,en-US
1981,Porsche,en-US
1981,Rolls-Royce,en-US
1981,Saab,en-US
1981,Subaru,en-US
1981,Toyota,en-US
1981,Volkswagen,en-US
1981,Volvo,en-US
1982,Alfa Romeo,en-US
1982,AMC,en-US
1982,Audi,en-US
1982,BMW,en-US
1982,Buick,en-US
1982,Cadillac,en-US
1982,Chevrolet,en-US
1982,Chrysler,en-US
1982,Datsun,en-US
1982,DeLorean,en-US
1982,Dodge,en-US
1982,Ferrari,en-US
1982,FIAT,en-US
1982,Ford,en-US
1982,GMC,en-US
1982,Honda,en-US
1982,Isuzu,en-US
1982,Jaguar,en-US
1982,Jeep,en-US
1982,Lincoln,en-US
1982,Mazda,en-US
1982,Mercedes-Benz,en-US
1982,Mercury,en-US
1982,Oldsmobile,en-US
1982,Plymouth,en-US
1982,Pontiac,en-US
1982,Porsche,en-US
1982,Rolls-Royce,en-US
1982,Saab,en-US
1982,Subaru,en-US
1982,Toyota,en-US
1982,Volkswagen,en-US
1982,Volvo,en-US
1983,Alfa Romeo,en-US
1983,AMC,en-US
1983,Audi,en-US
1983,BMW,en-US
1983,Buick,en-US
1983,Cadillac,en-US
1983,Chevrolet,en-US
1983,Chrysler,en-US
1983,Datsun,en-US
1983,DeLorean,en-US
1983,Dodge,en-US
1983,Ferrari,en-US
1983,FIAT,en-US
1983,Ford,en-US
1983,GMC,en-US
1983,Honda,en-US
1983,Isuzu,en-US
1983,Jaguar,en-US
1983,Jeep,en-US
1983,Lamborghini,en-US
1983,Lincoln,en-US
1983,Lotus,en-US
1983,Mazda,en-US
1983,Mercedes-Benz,en-US
1983,Mercury,en-US
1983,Mitsubishi,en-US
1983,Oldsmobile,en-US
1983,Plymouth,en-US
1983,Pontiac,en-US
1983,Porsche,en-US
1983,Rolls-Royce,en-US
1983,Saab,en-US
1983,Subaru,en-US
1983,Toyota,en-US
1983,Volkswagen,en-US
1983,Volvo,en-US
1984,Alfa Romeo,en-US
1984,AMC,en-US
1984,Aston Martin,en-US
1984,Audi,en-US
1984,BMW,en-US
1984,Buick,en-US
1984,Cadillac,en-US
1984,Chevrolet,en-US
1984,Chrysler,en-US
1984,Datsun,en-US
1984,Dodge,en-US
1984,Ferrari,en-US
1984,FIAT,en-US
1984,Ford,en-US
1984,GMC,en-US
1984,Honda,en-US
1984,Isuzu,en-US
1984,Jaguar,en-US
1984,Jeep,en-US
1984,Lincoln,en-US
1984,Lotus,en-US
1984,Maserati,en-US
1984,Mazda,en-US
1984,Mercedes-Benz,en-US
1984,Mercury,en-US
1984,Mitsubishi,en-US
1984,Nissan,en-US
1984,Oldsmobile,en-US
1984,Plymouth,en-US
1984,Pontiac,en-US
1984,Porsche,en-US
1984,Rolls-Royce,en-US
1984,Saab,en-US
1984,Subaru,en-US
1984,Toyota,en-US
1984,Volkswagen,en-US
1984,Volvo,en-US
1985,Alfa Romeo,en-US
1985,AMC,en-US
1985,Audi,en-US
1985,BMW,en-US
1985,Buick,en-US
1985,Cadillac,en-US
1985,Chevrolet,en-US
1985,Chrysler,en-US
1985,Datsun,en-US
1985,Dodge,en-US
1985,Ferrari,en-US
1985,FIAT,en-US
1985,Ford,en-US
1985,GMC,en-US
1985,Honda,en-US
1985,Isuzu,en-US
1985,Jaguar,en-US
1985,Jeep,en-US
1985,Lamborghini,en-US
1985,Lincoln,en-US
1985,Maserati,en-US
1985,Mazda,en-US
1985,Mercedes-Benz,en-US
1985,Mercury,en-US
1985,Mitsubishi,en-US
1985,Nissan,en-US
1985,Oldsmobile,en-US
1985,Plymouth,en-US
1985,Pontiac,en-US
1985,Porsche,en-US
