Year,Make,Locale
2011,Acura,en-US
2011,Aston Martin,en-US
2011,Audi,en-US
2011,Bentley,en-US
2011,BMW,en-US
2011,Buick,en-US
2011,Cadillac,en-US
2011,Chevrolet,en-US
2011,Chrysler,en-US
2011,Dodge,en-US
2011,Ferrari,en-US
2011,Ford,en-US
2011,Freightliner,en-US
2011,GMC,en-US
2011,Honda,en-US
2011,Hyundai,en-US
2011,Infiniti,en-US
2011,Jaguar,en-US
2011,Jeep,en-US
2011,Kia,en-US
2011,Lamborghini,en-US
2011,Land Rover,en-US
2011,Lexus,en-US
2011,Lincoln,en-US
2011,Lotus,en-US
2011,Maserati,en-US
2011,Maybach,en-US
2011,Mazda,en-US
2011,Mercedes-Benz,en-US
2011,Mercury,en-US
2011,MINI,en-US
2011,Mitsubishi,en-US
2011,Nissan,en-US
2011,Porsche,en-US
2011,RAM,en-US
2011,Rolls-Royce,en-US
2011,Saab,en-US
2011,Scion,en-US
2011,smart,en-US
2011,Subaru,en-US
2011,Suzuki,en-US
2011,Tesla,en-US
2011,Toyota,en-US
2011,Volkswagen,en-US
2011,Volvo,en-US
