Year,Make,Model,Locale
2016,Acura,ILX,en-US
2016,Acura,MDX,en-US
2016,Acura,RDX,en-US
2016,Acura,RLX,en-US
2016,Acura,TLX,en-US
2016,Aston Martin,V8 Vantage,en-US
2016,Audi,A3,en-US
2016,Audi,A4,en-US
2016,Audi,A5,en-US
2016,Audi,A6,en-US
2016,Audi,A7,en-US
2016,Audi,A8,en-US
2016,Audi,allroad,en-US
2016,Audi,Q3,en-US
2016,Audi,Q5,en-US
2016,Audi,RS 7,en-US
2016,Audi,S3,en-US
2016,Audi,S4,en-US
2016,Audi,S5,en-US
2016,Audi,S6,en-US
2016,Audi,S7,en-US
2016,Audi,S8,en-US
2016,Audi,SQ5,en-US
2016,Audi,TT,en-US
2016,Audi,TTS,en-US
2016,Bentley,Continental,en-US
2016,Bentley,Flying Spur,en-US
2016,Bentley,Mulsanne,en-US
2016,BMW,228i,en-US
2016,BMW,228i xDrive,en-US
2016,BMW,320i,en-US
2016,BMW,320i xDrive,en-US
2016,BMW,328d,en-US
2016,BMW,328d xDrive,en-US
2016,BMW,328i,en-US
2016,BMW,328i Gran Turismo xDrive,en-US
2016,BMW,328i xDrive,en-US
2016,BMW,335i Gran Turismo xDrive,en-US
2016,BMW,340i,en-US
2016,BMW,340i xDrive,en-US
2016,BMW,428i,en-US
2016,BMW,428i Gran Coupe,en-US
2016,BMW,428i Gran Coupe xDrive,en-US
2016,BMW,428i xDrive,en-US
2016,BMW,435i,en-US
2016,BMW,435i Gran Coupe,en-US
2016,BMW,435i Gran Coupe xDrive,en-US
2016,BMW,435i xDrive,en-US
2016,BMW,528i,en-US
2016,BMW,528i xDrive,en-US
2016,BMW,535d,en-US
2016,BMW,535d xDrive,en-US
2016,BMW,535i,en-US
2016,BMW,535i Gran Turismo,en-US
2016,BMW,535i Gran Turismo xDrive,en-US
2016,BMW,535i xDrive,en-US
2016,BMW,550i,en-US
2016,BMW,550i xDrive,en-US
2016,BMW,640i,en-US
2016,BMW,640i Gran Coupe,en-US
2016,BMW,640i Gran Coupe xDrive,en-US
2016,BMW,640i xDrive,en-US
2016,BMW,650i,en-US
2016,BMW,650i Gran Coupe xDrive,en-US
2016,BMW,650i xDrive,en-US
2016,BMW,750i xDrive,en-US
2016,BMW,M235i,en-US
2016,BMW,M235i xDrive,en-US
2016,BMW,M3,en-US
2016,BMW,M4,en-US
2016,BMW,M5,en-US
2016,BMW,M6,en-US
2016,BMW,M6 Gran Coupe,en-US
2016,BMW,X1,en-US
2016,BMW,X3,en-US
2016,BMW,X4,en-US
2016,BMW,X5,en-US
2016,BMW,X5 M,en-US
2016,BMW,X6,en-US
2016,BMW,X6 M,en-US
2016,BMW,Z4,en-US
2016,Buick,Enclave,en-US
2016,Buick,LaCrosse,en-US
2016,Buick,Regal,en-US
2016,Buick,Verano,en-US
2016,Cadillac,ATS,en-US
2016,Cadillac,CTS,en-US
2016,Cadillac,ELR,en-US
2016,Cadillac,Escalade,en-US
2016,Cadillac,Escalade ESV,en-US
2016,Cadillac,SRX,en-US
2016,Cadillac,XTS,en-US
2016,Chevrolet,Colorado,en-US
2016,Chevrolet,Corvette,en-US
2016,Chevrolet,Cruze,en-US
2016,Chevrolet,Equinox,en-US
2016,Chevrolet,Express 2500,en-US
2016,Chevrolet,Express 3500,en-US
2016,Chevrolet,Impala,en-US
2016,Chevrolet,Malibu,en-US
2016,Chevrolet,Silverado and other C/K2500,en-US
2016,Chevrolet,Silverado and other C/K3500,en-US
2016,Chevrolet,Sonic,en-US
2016,Chevrolet,Suburban,en-US
2016,Chevrolet,Tahoe,en-US
2016,Chevrolet,Traverse,en-US
2016,Chevrolet,Trax,en-US
2016,Chevrolet,Volt,en-US
2016,Chrysler,200,en-US
2016,Chrysler,300,en-US
2016,Chrysler,Town & Country,en-US
2016,Dodge,Challenger,en-US
2016,Dodge,Charger,en-US
2016,Dodge,Dart,en-US
2016,Dodge,Grand Caravan,en-US
2016,Dodge,Journey,en-US
2016,Dodge,Viper,en-US
2016,FIAT,500,en-US
2016,FIAT,500X,en-US
2016,Ford,C-MAX,en-US
2016,Ford,E-350 and Econoline 350,en-US
2016,Ford,Escape,en-US
2016,Ford,Expedition,en-US
2016,Ford,Expedition EL,en-US
2016,Ford,Explorer,en-US
2016,Ford,F150,en-US
2016,Ford,F250,en-US
2016,Ford,F350,en-US
2016,Ford,F450,en-US
2016,Ford,Fiesta,en-US
2016,Ford,Focus,en-US
2016,Ford,Fusion,en-US
2016,Ford,Mustang,en-US
2016,Ford,Transit 150,en-US
2016,Ford,Transit 250,en-US
2016,Ford,Transit 350,en-US
2016,Ford,Transit Connect,en-US
2016,GMC,Acadia,en-US
2016,GMC,Canyon,en-US
2016,GMC,Savana 2500,en-US
2016,GMC,Savana 3500,en-US
2016,GMC,Sierra C/K2500,en-US
2016,GMC,Terrain,en-US
2016,GMC,Yukon,en-US
2016,GMC,Yukon XL,en-US
2016,Honda,Accord,en-US
2016,Honda,Fit,en-US
2016,Honda,HR-V,en-US
2016,Honda,Odyssey,en-US
2016,Honda,Pilot,en-US
2016,Hyundai,Accent,en-US
2016,Hyundai,Elantra,en-US
2016,Hyundai,Equus,en-US
2016,Hyundai,Genesis,en-US
2016,Hyundai,Santa Fe,en-US
2016,Hyundai,Sonata,en-US
2016,Hyundai,Tucson,en-US
2016,Hyundai,Veloster,en-US
2016,Infiniti,QX50,en-US
2016,Infiniti,QX70,en-US
2016,Jaguar,F-TYPE,en-US
2016,Jeep,Cherokee,en-US
2016,Jeep,Compass,en-US
2016,Jeep,Patriot,en-US
2016,Jeep,Wrangler,en-US
2016,Kia,Forte,en-US
2016,Kia,Rio,en-US
2016,Kia,Sedona,en-US
