Year,Make,Model,Trim,Locale
1988,Acura,Integra,GS,en-US
1988,Acura,Integra,UNAVAIL,en-US
1988,Acura,Legend,UNAVAIL,en-US
1988,Acura,Integra,GS-R,en-US
1988,Acura,Integra,LS Special Edition,en-US
1988,Acura,Legend,GS,en-US
1988,Acura,Integra,LS,en-US
1988,Acura,Integra,Special Edition,en-US
1988,Acura,Integra,Type R,en-US
1988,Acura,Legend,Special Edition,en-US
1988,Acura,Legend,L,en-US
1988,Acura,Legend,LS,en-US
1988,Acura,Integra,RS,en-US
1988,Alfa Romeo,Spider,Veloce,en-US
1988,Alfa Romeo,Spider,Veloce Ce,en-US
1988,Alfa Romeo,Spider,Graduate,en-US
1988,Alfa Romeo,Milano,Verde,en-US
1988,Alfa Romeo,Spider,Special Edition,en-US
1988,Alfa Romeo,Milano,Silver,en-US
1988,Alfa Romeo,Spider,Quadrifoglio,en-US
1988,Alfa Romeo,Milano,Gold,en-US
1988,Alfa Romeo,Spider,UNAVAIL,en-US
1988,Alfa Romeo,Milano,Platinum,en-US
1988,AMC,Eagle,SX4,en-US
1988,AMC,Eagle,DL,en-US
1988,AMC,Eagle,Limited,en-US
1988,AMC,Eagle,UNAVAIL,en-US
1988,Aston Martin,V8 Vantage,N400,en-US
1988,Aston Martin,V8 Vantage,S,en-US
1988,Aston Martin,V8 Vantage,GT,en-US
1988,Aston Martin,V8 Vantage,N420,en-US
1988,Aston Martin,Lagonda,UNAVAIL,en-US
1988,Aston Martin,V8 Vantage,UNAVAIL,en-US
1988,Audi,5000,UNAVAIL,en-US
1988,Audi,80,UNAVAIL,en-US
1988,Audi,90,CS,en-US
1988,Audi,90,S,en-US
1988,Audi,5000,S,en-US
1988,Audi,90,Sport,en-US
1988,Audi,5000,Turbo,en-US
1988,Audi,90,UNAVAIL,en-US
1988,Audi,5000,CS,en-US
1988,Bentley,Continental,GT Speed,en-US
1988,Bentley,Continental,GTC Speed,en-US
1988,Bentley,Continental,GT3-R,en-US
1988,Bentley,Continental,Supersports,en-US
1988,Bentley,Continental,GT,en-US
1988,Bentley,Continental,Supersports ISR,en-US
1988,Bentley,Mulsanne,UNAVAIL,en-US
1988,Bentley,Continental,T,en-US
1988,Bentley,Continental,R,en-US
1988,Bentley,Continental,UNAVAIL,en-US
1988,Bentley,Continental,Flying Spur,en-US
1988,Bentley,Continental,GT V8 S,en-US
1988,Bentley,Continental,GT V8,en-US
1988,Bentley,Continental,Flying Spur Speed,en-US
1988,Bentley,Mulsanne,S,en-US
1988,Bentley,Continental,GTC,en-US
1988,Bentley,Mulsanne,Speed,en-US
1988,Bentley,Eight,UNAVAIL,en-US
1988,Bentley,Continental,SC,en-US
1988,BMW,M3,UNAVAIL,en-US
1988,BMW,528e,UNAVAIL,en-US
1988,BMW,325,UNAVAIL,en-US
1988,BMW,535i,UNAVAIL,en-US
1988,BMW,325is,UNAVAIL,en-US
1988,BMW,M5,UNAVAIL,en-US
1988,BMW,M6,UNAVAIL,en-US
1988,BMW,325i,UNAVAIL,en-US
1988,BMW,635CSi,UNAVAIL,en-US
1988,BMW,735i,UNAVAIL,en-US
1988,BMW,325iX,UNAVAIL,en-US
1988,BMW,750iL,Protection,en-US
1988,BMW,750iL,UNAVAIL,en-US
1988,BMW,735iL,UNAVAIL,en-US
1988,Buick,Skyhawk,Custom,en-US
1988,Buick,Skylark,Gran Sport,en-US
1988,Buick,Regal,Leather,en-US
1988,Buick,Le Sabre,Custom,en-US
1988,Buick,Electra,Limited,en-US
1988,Buick,Century,Special,en-US
1988,Buick,Skyhawk,Sport,en-US
1988,Buick,Regal,Limited,en-US
1988,Buick,Regal,Sport,en-US
1988,Buick,Skylark,Custom,en-US
1988,Buick,Le Sabre,UNAVAIL,en-US
1988,Buick,Riviera,T-Type,en-US
1988,Buick,Le Sabre,Estate,en-US
1988,Buick,Electra,Park Avenue,en-US
1988,Buick,Century,Estate,en-US
1988,Buick,Regal,GNX,en-US
