Year,Make,ModelGroup
1990,Alfa Romeo,All Models
1990,Audi,All Models
1990,Buick,All Other Models
1990,Cadillac,Other Cadillac Models
1990,Chevrolet,All Other Models
1990,Chevrolet,G10-G30 Series
1990,Chevrolet,Silverado
1990,Chevrolet,S-Series
1990,Chrysler,All Other Models
1990,Dodge,All Other Models
1990,Ferrari,All Models
1990,Ford,Econoline
1990,GMC,Sierra
1990,GMC,S-Series
1990,Honda,Accord
1990,Jaguar,All Models
1990,Jeep,All Models
1990,Lamborghini,All Models
1990,Land Rover,All Models
1990,Lincoln,All Models
1990,Lotus,All Models
1990,Maserati,All Models
1990,Mercedes-Benz,All Models
1990,Oldsmobile,All Models
1990,Pontiac,All Models
1990,Rolls-Royce,All Models
1990,Saab,All Models
1990,Suzuki,All Models
1990,Volkswagen,Golf
