Year,Make,GroupModel,Model,Locale
1987,Alfa Romeo,All Models,Milano,En-US
1987,Alfa Romeo,All Models,Spider,En-US
1987,Audi,All Models,Coupe,En-US
1987,Audi,All Models,4000,En-US
1987,Audi,All Models,5000,En-US
1987,Ferrari,All Models,Mondial,En-US
1987,Ferrari,All Models,Testarossa,En-US
1987,Ferrari,All Models,328,En-US
1987,FIAT,All Models,X1/9,En-US
1987,Jaguar,All Models,XJS,En-US
1987,Jaguar,All Models,XJ6,En-US
1987,Jaguar,All Models,XJ Vanden Plas,En-US
1987,Land Rover,All Models,Range Rover,En-US
1987,Lincoln,All Models,Town Car,En-US
1987,Lincoln,All Models,Continental,En-US
1987,Lincoln,All Models,Mark VII,En-US
1987,Lotus,All Models,Esprit,En-US
1987,Maserati,All Models,Spyder,En-US
1987,Mercedes-Benz,All Models,300E,En-US
1987,Mercedes-Benz,All Models,300D,En-US
1987,Mercedes-Benz,All Models,560SEC,En-US
1987,Mercedes-Benz,All Models,260E,En-US
1987,Mercedes-Benz,All Models,190D,En-US
1987,Mercedes-Benz,All Models,300SDL,En-US
1987,Mercedes-Benz,All Models,560SEL,En-US
1987,Mercedes-Benz,All Models,190E,En-US
1987,Mercedes-Benz,All Models,300TD,En-US
1987,Mercedes-Benz,All Models,560SL,En-US
1987,Mercedes-Benz,All Models,420SEL,En-US
1987,Oldsmobile,All Models,88,En-US
1987,Oldsmobile,All Models,Custom Cruiser,En-US
1987,Oldsmobile,All Models,Cutlass,En-US
1987,Oldsmobile,All Models,Cutlass Ciera,En-US
1987,Oldsmobile,All Models,Cutlass Calais,En-US
1987,Oldsmobile,All Models,Toronado,En-US
1987,Oldsmobile,All Models,Ninety-Eight,En-US
1987,Oldsmobile,All Models,Cutlass Supreme,En-US
1987,Oldsmobile,All Models,Firenza,En-US
1987,Pontiac,All Models,Grand Am,En-US
1987,Pontiac,All Models,Safari,En-US
1987,Pontiac,All Models,Grand Prix,En-US
1987,Pontiac,All Models,1000,En-US
1987,Pontiac,All Models,Firebird,En-US
1987,Pontiac,All Models,Fiero,En-US
1987,Pontiac,All Models,Bonneville,En-US
1987,Pontiac,All Models,Other Pontiac Models,En-US
1987,Pontiac,All Models,6000,En-US
