Movie,None,Starz,Netflix,Prime,Hulu,Kanopy,Hoopla,Filmstruck,HBO,FreeForm,Vudu,Showtime,Epix,Crackle,SYFY,FXNow,MaxGo,Shudder,Fandor,Tubi TV,The Roku Channel,Sundance Now
1. The Shawshank Redemption (1994),X,,,,,,,,,,,,,,,,,,,,,
2. The Godfather (1972),,,X,,,,,,,,,,,,,,,,,,,
3. The Godfather: Part II (1974),,,X,,,,,,,,,,,,,,,,,,,
4. The Dark Knight (2008),X,,,,,,,,,,,,,,,,,,,,,
5. 12 Angry Men (1957),X,,,,,,,,,,,,,,,,,,,,,
6. Schindler's List (1993),,,X,,,,,,,,,,,,,,,,,,,
7. The Lord of the Rings: The Return of the King (2003),,X,,,,,,,,,,,,,,,,,,,,
8. Pulp Fiction (1994),X,,,,,,,,,,,,,,,,,,,,,
"9. The Good, the Bad and the Ugly (1966)",X,,,,,,,,,,,,,,,,,,,,,
10. Fight Club (1999),X,,,,,,,,,,,,,,,,,,,,,
11. The Lord of the Rings: The Fellowship of the Ring (2001),,X,X,,,,,,,,,,,,,,,,,,,
12. Forrest Gump (1994),,,,,,,,,,X,,,,,,,,,,,,
13. Star Wars: Episode V - The Empire Strikes Back (1980),X,,,,,,,,,,,,,,,,,,,,,
14. Inception (2010),X,,,,,,,,,,,,,,,,,,,,,
15. The Lord of the Rings: The Two Towers (2002),,X,,,,,,,,,,,,,,,,,,,,
16. One Flew Over the Cuckoo's Nest (1975),X,,,,,,,,,,,,,,,,,,,,,
17. Goodfellas (1990),,,,,,,,,X,,,,,,,,,,,,,
18. The Matrix (1999),,,,,,,,,,,X,,,,,,,,,,,
19. Seven Samurai (1954),,,,,,,,X,,,,,,,,,,,,,,
20. City of God (2002),,,,,X,,,,,,,,,,,,,,,,,
21. Star Wars: Episode IV - A New Hope (1977),X,,,,,,,,,,,,,,,,,,,,,
22. Se7en (1995),,,X,,,,,,,,,,,,,,,,,,,
23. The Silence of the Lambs (1991),,,,,,,,,X,,,,,,,,,,,,,
24. It's a Wonderful Life (1946),X,,,,,,,,,,,,,,,,,,,,,
25. Life Is Beautiful (1997),,,X,,,,,,,,,X,,,,,,,,,,
26. The Usual Suspects (1995),,,,X,X,,,,,,,,X,,,,,,,,,
27. Spirited Away (2001),X,,,,,,,,,,,,,,,,,,,,,
28. Saving Private Ryan (1998),,X,,,,,,,,,,,,,,,,,,,,
29. Léon: The Professional (1994),,,,,,,,,,,,,,X,,,,,,,,
