state,latitude,longitude,employees,officers,civilians,pop,popPerCop,sqmiPerCop,size
California,36.778261,-119.417932,10551,7275,3276,38802500,5334,23,163696
Texas,31.968599,-99.901813,7611,2162,4174,26448193,12233,121,261797
Pennsylvania,41.203322,-77.194525,6569,4719,1850,12787209,2710,10,46055
New York,40.712775,-74.005973,6423,4900,1747,11346227,2316,11,54556
New Jersey,40.058324,-74.405661,4339,2400,1939,8938175,3724,4,8729
Massachusetts,42.407211,-71.382437,2700,2300,400,6794422,2954,5,10555
Virginia,37.431573,-78.656894,2697,1974,723,8001024,4053,22,42774
Ohio,40.417287,-82.907123,2521,1530,991,11538504,7542,29,44825
Maryland,39.045755,-76.641271,2429,1483,733,5773552,3893,8,12407
Washington,47.751074,-120.740138,2410,1059,1239,7061530,6668,67,71342
North Carolina,35.759573,-79.0193,2340,1517,823,9061032,5973,36,53865
Florida,27.664827,-81.515754,2280,1792,501,19317568,10780,37,65795
Hawaii,19.896766,-155.582782,2263,244,2019,1283388,5260,45,10931
Missouri,37.964253,-91.831833,2248,1097,1151,6044171,5510,64,69704
Arizona,34.048928,-111.093731,2005,1249,880,6338755,5075,236,295254
Tennessee,35.517491,-86.580447,1869,972,897,6156719,6334,43,42169
Indiana,40.267194,-86.134902,1821,1272,549,6619680,5204,29,36418
Connecticut,41.603221,-73.087749,1652,1152,500,3502309,3040,5,5544
Louisiana,30.984298,-91.962333,1548,1063,485,4468976,4204,49,51885
Georgia,32.165622,-82.900075,1268,856,412,9544750,11150,69,59425
Alabama,32.318231,-86.902298,1268,681,587,4627851,6796,77,52419
Oregon,43.804133,-120.554201,1135,406,514,3747455,9230,243,98466
Colorado,39.550051,-105.782067,1108,831,277,5456574,6566,125,104185
South Carolina,33.836081,-81.163724,1100,955,180,4679230,4900,34,32020
Mississippi,32.354668,-89.398528,1030,535,495,2918785,5456,91,48434
West Virginia,38.597626,-80.454903,1018,659,359,1812035,2750,37,24230
Utah,39.32098,-111.093731,1018,475,480,2645330,5569,179,84889
New Mexico,34.51994,-105.87009,1000,605,490,1969915,3256,201,121665
Oklahoma,35.007752,-97.092877,982,778,204,3814820,4903,90,69898
Delaware,38.910833,-75.52767,847,658,205,907135,1379,3,1982
Kansas,39.011902,-98.484246,840,541,299,2775997,5131,152,82277
Minnesota,46.729553,-94.6859,821,544,277,5197621,9554,160,87014
Nebraska,41.492537,-99.901813,729,529,219,1774571,3355,146,77421
Wisconsin,43.78444,-88.787868,713,510,203,5757564,11289,128,65498
Alaska,64.200841,-149.493673,653,650,303,736732,1133,1020,663268
Nevada,38.80261,-116.419389,552,421,131,2565382,6094,263,110567
Maine,45.253783,-69.445469,528,338,190,1317207,3897,99,33414
Idaho,44.068202,-114.742041,486,288,198,1499402,5206,290,83642
Iowa,41.878003,-93.097702,485,355,96,2988046,8417,159,56272
Arkansas,35.20105,-91.831833,400,300,100,2834797,9449,177,53179
Vermont,44.558803,-72.577841,385,327,58,626242,1915,29,9620
Wyoming,43.075968,-107.290284,339,210,151,522830,2490,1206,253348
Montana,46.879682,-110.362566,274,300,68,998199,3327,491,147165
Rhode Island,41.580095,-71.477429,233,190,43,1057832,5568,8,1545
South Dakota,43.969515,-99.901813,229,154,75,796214,5170,501,77116
North Dakota,47.551493,-101.002012,192,135,57,639715,4739,524,70762
Kentucky,37.839333,-84.270018,1874,1070,804,4206074,3931,38,40409
Michigan,44.314844,-85.602364,2265,1399,866,9969727,7126,70,97990
New York City,40.712775,-74.005973,250,250,0,8274527,33098,5,1214
