avgListPrice,county,state,statecode,medianPrice,popularity,latitude,longitude
5000000,ORANGE,California,CA,,,33.7877944,-117.8531119
3919716,New York,New York,NY,1199000,5,40.7127837,-74.0059413
3880872,Pitkin,Colorado,CO,613750,11,38.6091612,-106.5166957
3707588,Nantucket,Massachusetts,MA,815000,13,41.2834704,-70.099451
3250000,WALTON,Florida,FL,,,30.5640199,-86.1751759
2316871,Teton,Wyoming,WY,,2,43.853632,-110.6314491
2305144,Dukes,Massachusetts,MA,535000,14,41.4039539,-70.6692655
2071961,San Miguel,Colorado,CO,578637,29,37.9781237,-108.1428669
1966705,Eagle,Colorado,CO,,12,39.6552634,-106.8286507
1958468,Summit,Utah,UT,,4,37.801087,-112.9363354
1912228,Marin,California,CA,898750,20,38.083403,-122.7633036
1695213,Santa Barbara,California,CA,465000,16,34.4208305,-119.6981901
1572305,San Mateo,California,CA,1050000,6,37.5629917,-122.3255254
1546060,San Francisco,California,CA,1160000,,37.7749295,-122.4194155
1399999,Lyman,South Dakota,SD,,41,43.9016694,-99.8124935
1266650,Sutton,Texas,TX,,221,30.5598827,-100.5296115
1218207,Wheeler,Oregon,OR,,35,45.688996,-123.8806879
1200000,Cherry,Nebraska,NE,,26,42.474114,-101.1617356
1170680,Monterey,California,CA,468250,21,36.6002378,-121.8946761
1126423,Kings,New York,NY,730000,6,40.6528762,-73.959494
1119247,Orange,California,CA,630000,3,33.7877944,-117.8531119
1110375,Armstrong,Texas,TX,,174,26.9224703,-97.7898963
1089500,Glasscock,Texas,TX,,219,31.912308,-101.6157773
1066860,Blaine,Idaho,ID,,10,43.4743428,-113.9664446
1054953,Westchester,New York,NY,535000,1,41.1220194,-73.7948516
1046584,Santa Clara,California,CA,850000,9,37.3541079,-121.9552356
1045333,Suffolk,Massachusetts,MA,372500,3,42.3522866,-71.0504229
1001213,Los Angeles,California,CA,525000,1,34.0522342,-118.2436849
962886,Summit,Colorado,CO,452000,10,39.5911871,-106.0640179
954975,Grant,North Dakota,ND,,41,46.3951108,-101.5535564
944533,Falls Church,Virginia,VA,806000,25,38.882334,-77.1710914
925044,Monroe,Florida,FL,518000,22,24.5557001,-81.7825985
898037,Fairfield,Connecticut,CT,370000,1,41.1408363,-73.2612615
879527,San Juan,Washington,WA,364820,31,48.5513671,-123.0781062
865311,Boulder,Colorado,CO,435000,5,40.0149856,-105.2705456
861862,Suffolk,New York,NY,356000,3,40.9848784,-72.6151169
824431,Clear Creek,Colorado,CO,295000,34,39.7967637,-105.0426542
824344,Ventura,California,CA,535000,10,34.274646,-119.2290316
822776,Napa,California,CA,585000,26,38.2975381,-122.286865
810114,San Diego,California,CA,495000,2,32.715738,-117.1610838
805942,Nassau,New York,NY,471000,2,40.6546145,-73.5594128
804772,Norfolk,Massachusetts,MA,360450,2,42.1195426,-71.3250563
790198,Santa Cruz,California,CA,653500,19,36.9741171,-122.0307963
784375,Hood River,Oregon,OR,395000,24,45.7053966,-121.5214623
778371,Wasatch,Utah,UT,,8,40.3629418,-110.9983515
777937,Sonoma,California,CA,529000,12,38.291859,-122.4580356
772708,Arlington,Virginia,VA,520000,6,38.8816208,-77.0909809
750000,Atkinson,Georgia,GA,65250,138,31.2932161,-82.8640623
750000,Aurora,South Dakota,SD,,51,44.2841347,-96.685606
749957,Alameda,California,CA,685000,7,37.7652065,-122.2416355
743218,Williamson,Tennessee,TN,414069,5,35.9179271,-86.8621827
741500,FORREST,Mississippi,MS,,,31.2148677,-89.2847251
738050,Fauquier,Virginia,VA,337500,20,38.7208787,-77.7909776
726543,Jackson,Colorado,CO,,37,40.6819242,-106.2522143
720542,Talbot,Maryland,MD,303000,20,38.7803973,-76.1319953
720251,Madison,Montana,MT,,18,45.466729,-111.8865015
715361,Queens,New York,NY,595000,4,40.7282239,-73.7948516
712633,Garfield,Nebraska,NE,,73,41.9678957,-98.9245343
711695,Middlesex,Massachusetts,MA,330000,1,42.467206,-71.2874209
711152,Newport,Rhode Island,RI,343500,3,41.4901024,-71.3128285
706483,Barnstable,Massachusetts,MA,271250,8,41.7003208,-70.3002024
704816,Douglas,Colorado,CO,410000,6,39.2587106,-104.9388853
701157,Placer,California,CA,416250,13,39.0915751,-120.8039474
698186,Montgomery,Maryland,MD,420500,1,39.1547426,-77.2405153
697334,Douglas,Nevada,NV,300000,3,38.9265035,-119.6499162
691129,Contra Costa,California,CA,500000,8,37.8534093,-121.9017954
687081,Bergen,New Jersey,NJ,450000,1,40.9262762,-74.07701
685472,Collier,Florida,FL,310000,13,26.069985,-81.4278984
682439,San Luis Obispo,California,CA,490000,15,35.2827524,-120.6596156
675476,King,Washington,WA,465000,1,47.5480339,-121.9836029
672304,Miami-Dade,Florida,FL,,1,25.5516034,-80.6326916
656744,Kendall,Texas,TX,,31,29.9603413,-98.7481167
656205,La Plata,Colorado,CO,335000,13,37.2125857,-107.763621
655460,Charleston,South Carolina,SC,285250,5,32.7764749,-79.9310512
652249,Albemarle,Virginia,VA,265000,48,38.0567092,-78.6114999
646492,Gillespie,Texas,TX,,39,30.314993,-98.9245343
642776,Richmond,New York,NY,,11,42.8214796,-77.5390127
639873,Loudoun,Virginia,VA,425000,3,39.076767,-77.6536125
623315,Gallatin,Montana,MT,,1,45.5388865,-111.1194231
619364,Mendocino,California,CA,325000,28,39.3076744,-123.7994591
617450,Hanson,South Dakota,SD,,46,43.6082107,-97.6982272
612884,Walton,Florida,FL,,27,30.5640199,-86.1751759
612402,Gunnison,Colorado,CO,249500,15,38.5458246,-106.9253207
610033,Alexandria,Virginia,VA,599250,112,38.8048355,-77.0469214
603138,Bristol,Rhode Island,RI,332950,5,41.6771101,-71.2662025
597290,Clackamas,Oregon,OR,365000,2,45.4076205,-122.5703692
594035,Routt,Colorado,CO,369000,22,40.4771623,-107.1011931
591084,Palm Beach,Florida,FL,261500,3,26.7056206,-80.0364297
590830,Rappahannock,Virginia,VA,269000,87,38.6762327,-78.1564432
589806,Clarke,Virginia,VA,435395,61,39.1516583,-77.973865
589693,El Dorado,California,CA,395000,23,38.6801437,-120.8412807
588254,Jefferson,Colorado,CO,374000,1,39.377255,-105.8005988
576498,Currituck,North Carolina,NC,280000,55,36.4189826,-75.946324
573680,Essex,Massachusetts,MA,297000,4,42.6319582,-70.7829315
571444,Llano,Texas,TX,,35,30.7593452,-98.6750379
567633,Nevada,California,CA,381000,27,39.1346666,-121.1710389
567568,Greene,Georgia,GA,323000,74,33.5186591,-83.1649001
565570,Denver,Colorado,CO,358250,3,39.7392358,-104.990251
552553,Archuleta,Colorado,CO,211000,23,37.1604318,-107.0067031
550674,San Benito,California,CA,460000,37,36.5760883,-120.9876321
549318,Ouray,Colorado,CO,335000,36,38.0227716,-107.6714487
546668,Broomfield,Colorado,CO,365000,30,39.9205411,-105.0866504
542258,Mono,California,CA,330000,40,37.9218608,-118.9528645
541828,Washington,Rhode Island,RI,330000,2,41.4568113,-71.6673352
540026,Monmouth,New Jersey,NJ,375000,4,40.2589455,-74.123996
538034,Rabun,Georgia,GA,186415,46,34.9027286,-83.3789389
535465,Morgan,Utah,UT,,13,41.036056,-111.6768769
534000,East Carroll,Louisiana,LA,,64,32.7570923,-91.2506002
533276,Grand,Colorado,CO,282000,19,39.4818366,-106.067701
530556,Dallas,Texas,TX,,6,32.7766642,-96.7969879
528484,Hudson,New Jersey,NJ,350500,2,40.7453199,-74.0535126
525000,Sioux,Nebraska,NE,,37,42.5012873,-103.7289167
524113,Somerset,New Jersey,NJ,375000,13,40.497604,-74.4884868
524012,Garfield,Colorado,CO,,24,39.6584775,-107.763621
518692,Beaufort,South Carolina,SC,262760,3,32.4315813,-80.6698286
517391,Indian River,Florida,FL,188250,28,27.6947732,-80.543845
516017,Multnomah,Oregon,OR,344000,19,45.5145659,-122.5863212
514444,Washington,Texas,TX,,67,30.3252749,-96.1573104
511958,Bath,Virginia,VA,112000,91,38.111733,-79.6502105
509902,Valley,Idaho,ID,,8,44.9204669,-115.7926381
508996,Hennepin,Minnesota,MN,240000,1,45.0208911,-93.5094574
506730,Rockland,New York,NY,420000,13,41.9456157,-74.8039205
504643,Morris,New Jersey,NJ,,7,40.8336038,-74.5463282
501645,Washoe,Nevada,NV,285000,2,40.5608387,-119.6035495
499900,OKLAHOMA,Oklahoma,OK,,,35.0077519,-97.092877
498575,Martin,Florida,FL,238750,23,29.29361,-82.19056
497500,Nome,Alaska,AK,,16,64.5011111,-165.4063889
495845,Arapahoe,Colorado,CO,308500,26,38.8533381,-102.1762596
490563,Madison,Virginia,VA,210000,89,38.3804062,-78.2575035
488384,Howard,Maryland,MD,375000,6,39.2873463,-76.964306
487770,Grand,Utah,UT,,12,39.0086287,-109.5613343
486763,Ravalli,Montana,MT,,7,47.2726443,-114.1730085
486536,Woodford,Kentucky,KY,,28,38.0721662,-84.7315563
485390,Dare,North Carolina,NC,,22,35.6549619,-75.6208088
484192,Sarasota,Florida,FL,220000,10,27.3364347,-82.5306527
484164,Fulton,Georgia,GA,269900,4,33.8033965,-84.3962535
482641,Santa Fe,New Mexico,NM,,2,35.6869752,-105.937799
482493,Yamhill,Oregon,OR,285250,16,45.3415036,-123.1873291
481748,Washington,Oregon,OR,335000,1,45.5469616,-123.1386021
479262,Transylvania,North Carolina,NC,225000,47,35.2190534,-82.7778579
477975,Carbon,Montana,MT,,16,45.2820195,-109.100255
474720,Oldham,Kentucky,KY,245000,10,38.3560025,-85.4788065
474197,Cape May,New Jersey,NJ,223000,15,38.9351125,-74.9060053
473741,Teton,Idaho,ID,,22,43.886579,-111.6777396
472638,Bronx,New York,NY,395200,7,40.8447819,-73.8648268
469129,Travis,Texas,TX,,15,31.1354588,-97.0027678
468747,Collin,Texas,TX,,7,33.1795213,-96.4929797
468312,Lake,Montana,MT,,10,47.9056393,-114.1155537
465797,Buncombe,North Carolina,NC,,4,35.5931377,-82.4752757
462902,Orange,North Carolina,NC,,12,36.0263022,-79.1096901
462625,DuPage,Illinois,IL,,3,41.8243831,-88.0900762
457353,Plymouth,Massachusetts,MA,270000,5,41.9584457,-70.6672621
456895,Yolo,California,CA,360000,11,38.732968,-121.8072828
456216,Goochland,Virginia,VA,355000,76,37.7415997,-77.973865
453935,Chester,Pennsylvania,PA,294000,6,39.849557,-75.3557457
453459,Lake,Illinois,IL,212750,4,42.3689363,-87.8271534
449865,Kootenai,Idaho,ID,,2,48.3102037,-116.5135257
449668,Gilpin,Colorado,CO,357000,54,39.8770159,-105.4536718
448795,Jackson,North Carolina,NC,,44,36.3895976,-77.4213614
448167,Carver,Minnesota,MN,258750,8,44.7633943,-93.6254404
448139,Elbert,Colorado,CO,408000,20,39.2194678,-104.5371508
447704,Riverside,California,CA,542250,4,33.9533487,-117.3961564
446532,Salt Lake,Utah,UT,,1,40.7607793,-111.8910474
446328,Washington,Minnesota,MN,247000,2,44.8896877,-92.8577105
446326,Davidson,Tennessee,TN,225000,1,36.1342563,-86.8220341
446210,Polk,North Carolina,NC,,67,35.2686842,-82.1713632
445311,Fredericksburg,Virginia,VA,275000,114,38.3031837,-77.4605399
443586,Queen Anne's,Maryland,MD,308622,18,39.0263572,-76.1319953
443473,Burnet,Texas,TX,,66,30.7582376,-98.2283585
442538,Northampton,Virginia,VA,231800,24,37.226762,-75.9927652
442372,Deschutes,Oregon,OR,305000,4,43.83251,-121.2616541
441230,Lancaster,Virginia,VA,218000,74,37.7475945,-76.5025742
440842,Sweet Grass,Montana,MT,,20,48.9961099,-111.9675752
440470,Larimer,Colorado,CO,320000,7,40.6955572,-105.5943388
437911,Denton,Texas,TX,,4,33.2148412,-97.1330683
436072,Bucks,Pennsylvania,PA,271000,3,40.4107964,-75.2479061
433288,Morgan,Georgia,GA,185000,52,31.5376731,-84.5993601
432966,Piute,Utah,UT,,28,38.3997408,-112.1430215
431232,Clatsop,Oregon,OR,256850,10,46.0210796,-123.7653042
431110,Forsyth,Georgia,GA,280000,19,33.0342974,-83.938242
429577,Kittitas,Washington,WA,165000,12,46.9831822,-120.4170102
428955,Clark,Washington,WA,285000,6,45.7466471,-122.5194378
428616,Hunterdon,New Jersey,NJ,343500,19,40.5669515,-74.9208772
425482,Island,Washington,WA,286000,17,48.19765,-122.579457
424843,Prince William,Virginia,VA,330000,5,38.7838939,-77.6077865
421749,Dawson,Georgia,GA,175000,35,31.7735001,-84.4465826
420380,Scott,Minnesota,MN,247175,7,44.6834072,-93.5407909
419782,PIMA,Arizona,AZ,,,32.8961755,-109.8275815
419544,Curry,Oregon,OR,337000,17,42.5440503,-124.2781761
417815,Solano,California,CA,365000,24,38.3104969,-121.9017954
417671,Snohomish,Washington,WA,353000,4,47.9128756,-122.0981848
417107,Bonner,Idaho,ID,,6,48.2751783,-116.5931483
415896,Union,North Carolina,NC,226000,8,34.9338651,-80.543845
415797,James City,Virginia,VA,294450,,37.3002132,-76.8028933
415339,Amador,California,CA,256250,44,38.3488921,-120.7740931
415010,Georgetown,South Carolina,SC,211000,7,33.376834,-79.2944964
414873,Putnam,New York,NY,274000,16,43.7467286,-73.3970613
