avgListPrice,medianPrice,popularity,statecode,city,state,latitude,longitude
5000000,,,CA,ORANGE,California,33.7877944,-117.8531119
3919716,1199000,5,NY,New York,New York,40.7127837,-74.0059413
3880872,613750,11,CO,Pitkin,Colorado,38.6091612,-106.5166957
3707588,815000,13,MA,Nantucket,Massachusetts,41.2834704,-70.099451
3250000,,,FL,WALTON,Florida,30.5640199,-86.1751759
2316871,,2,WY,Teton,Wyoming,43.853632,-110.6314491
2305144,535000,14,MA,Dukes,Massachusetts,41.4039539,-70.6692655
2071961,578637,29,CO,San Miguel,Colorado,37.9781237,-108.1428669
1966705,,12,CO,Eagle,Colorado,39.6552634,-106.8286507
1958468,,4,UT,Summit,Utah,37.801087,-112.9363354
1912228,898750,20,CA,Marin,California,38.083403,-122.7633036
1695213,465000,16,CA,Santa Barbara,California,34.4208305,-119.6981901
1572305,1050000,6,CA,San Mateo,California,37.5629917,-122.3255254
1546060,1160000,,CA,San Francisco,California,37.7749295,-122.4194155
1399999,,41,SD,Lyman,South Dakota,43.9016694,-99.8124935
1266650,,221,TX,Sutton,Texas,30.5598827,-100.5296115
1218207,,35,OR,Wheeler,Oregon,45.688996,-123.8806879
1200000,,26,NE,Cherry,Nebraska,42.474114,-101.1617356
1170680,468250,21,CA,Monterey,California,36.6002378,-121.8946761
1126423,730000,6,NY,Kings,New York,40.6528762,-73.959494
1119247,630000,3,CA,Orange,California,33.7877944,-117.8531119
1110375,,174,TX,Armstrong,Texas,26.9224703,-97.7898963
1089500,,219,TX,Glasscock,Texas,31.912308,-101.6157773
1066860,,10,ID,Blaine,Idaho,43.4743428,-113.9664446
1054953,535000,1,NY,Westchester,New York,41.1220194,-73.7948516
1046584,850000,9,CA,Santa Clara,California,37.3541079,-121.9552356
1045333,372500,3,MA,Suffolk,Massachusetts,42.3522866,-71.0504229
1001213,525000,1,CA,Los Angeles,California,34.0522342,-118.2436849
962886,452000,10,CO,Summit,Colorado,39.5911871,-106.0640179
954975,,41,ND,Grant,North Dakota,46.3951108,-101.5535564
944533,806000,25,VA,Falls Church,Virginia,38.882334,-77.1710914
925044,518000,22,FL,Monroe,Florida,24.5557001,-81.7825985
898037,370000,1,CT,Fairfield,Connecticut,41.1408363,-73.2612615
879527,364820,31,WA,San Juan,Washington,48.5513671,-123.0781062
865311,435000,5,CO,Boulder,Colorado,40.0149856,-105.2705456
861862,356000,3,NY,Suffolk,New York,40.9848784,-72.6151169
824431,295000,34,CO,Clear Creek,Colorado,39.7967637,-105.0426542
824344,535000,10,CA,Ventura,California,34.274646,-119.2290316
822776,585000,26,CA,Napa,California,38.2975381,-122.286865
810114,495000,2,CA,San Diego,California,32.715738,-117.1610838
805942,471000,2,NY,Nassau,New York,40.6546145,-73.5594128
804772,360450,2,MA,Norfolk,Massachusetts,42.1195426,-71.3250563
790198,653500,19,CA,Santa Cruz,California,36.9741171,-122.0307963
784375,395000,24,OR,Hood River,Oregon,45.7053966,-121.5214623
778371,,8,UT,Wasatch,Utah,40.3629418,-110.9983515
777937,529000,12,CA,Sonoma,California,38.291859,-122.4580356
772708,520000,6,VA,Arlington,Virginia,38.8816208,-77.0909809
750000,65250,138,GA,Atkinson,Georgia,31.2932161,-82.8640623
750000,,51,SD,Aurora,South Dakota,44.2841347,-96.685606
749957,685000,7,CA,Alameda,California,37.7652065,-122.2416355
743218,414069,5,TN,Williamson,Tennessee,35.9179271,-86.8621827
741500,,,MS,FORREST,Mississippi,31.2148677,-89.2847251
738050,337500,20,VA,Fauquier,Virginia,38.7208787,-77.7909776
726543,,37,CO,Jackson,Colorado,40.6819242,-106.2522143
720542,303000,20,MD,Talbot,Maryland,38.7803973,-76.1319953
720251,,18,MT,Madison,Montana,45.466729,-111.8865015
715361,595000,4,NY,Queens,New York,40.7282239,-73.7948516
712633,,73,NE,Garfield,Nebraska,41.9678957,-98.9245343
711695,330000,1,MA,Middlesex,Massachusetts,42.467206,-71.2874209
711152,343500,3,RI,Newport,Rhode Island,41.4901024,-71.3128285
706483,271250,8,MA,Barnstable,Massachusetts,41.7003208,-70.3002024
704816,410000,6,CO,Douglas,Colorado,39.2587106,-104.9388853
701157,416250,13,CA,Placer,California,39.0915751,-120.8039474
698186,420500,1,MD,Montgomery,Maryland,39.1547426,-77.2405153
