Region,speeding ticket: (7/7/17 - 7/7/18),odds,lt,ln
Georgia,100,terrible,32.1656221,-82.9000751
Louisiana,97,terrible,30.9842977,-91.9623327
Virginia,88,terrible,37.4315734,-78.6568942
North Carolina,88,terrible,35.7595731,-79.0192997
Ohio,87,terrible,40.4172871,-82.907123
Alabama,87,terrible,32.3182314,-86.902298
North Dakota,82,terrible,47.5514926,-101.0020119
Oklahoma,81,terrible,35.0077519,-97.092877
Texas,81,terrible,31.9685988,-99.9018131
Missouri,81,terrible,37.9642529,-91.8318334
Mississippi,77,terrible,32.3546679,-89.3985283
New York,75,terrible,40.7127753,-74.0059728
Tennessee,75,terrible,35.5174913,-86.5804473
District of Columbia,74,terrible,38.9071923,-77.0368707
Nevada,69,terrible,38.8026097,-116.419389
Indiana,69,terrible,40.2671941,-86.1349019
Arizona,67,terrible,34.0489281,-111.0937311
Kansas,67,terrible,39.011902,-98.4842465
Utah,66,terrible,39.3209801,-111.0937311
Maryland,66,terrible,39.0457549,-76.6412712
Arkansas,65,bad,35.20105,-91.8318334
South Carolina,65,bad,33.836081,-81.1637245
California,65,bad,36.778261,-119.4179324
Minnesota,65,bad,46.729553,-94.6858998
Washington State,64,bad,47.7510741,-120.7401385
New Hampshire,64,bad,43.1938516,-71.5723953
Oregon,62,bad,43.8041334,-120.5542012
Iowa,61,bad,41.8780025,-93.097702
Illinois,60,bad,40.6331249,-89.3985283
Colorado,58,Coin-flip,39.5500507,-105.7820674
Nebraska,57,Coin-flip,41.4925374,-99.9018131
Wisconsin,57,Coin-flip,43.7844397,-88.7878678
Hawaii,54,Coin-flip,19.8967662,-155.5827818
Kentucky,54,Coin-flip,37.8393332,-84.2700179
Michigan,53,Coin-flip,44.3148443,-85.6023643
Connecticut,52,Coin-flip,41.6032207,-73.087749
Massachusetts,52,Coin-flip,42.4072107,-71.3824374
Wyoming,50,Coin-flip,43.0759678,-107.2902839
Rhode Island,50,Coin-flip,41.5800945,-71.4774291
West Virginia,49,Coin-flip,38.5976262,-80.4549026
Florida,47,Coin-flip,27.6648274,-81.5157535
Pennsylvania,45,Coin-flip,41.2033216,-77.1945247
New Jersey,44,Coin-flip,40.0583238,-74.4056612
South Dakota,43,Coin-flip,43.9695148,-99.9018131
New Mexico,43,Coin-flip,34.5199402,-105.8700901
Montana,40,good,46.8796822,-110.3625658
Idaho,38,good,44.0682019,-114.7420408
Delaware,37,good,38.9108325,-75.5276699
Maine,36,good,45.253783,-69.4454689
Vermont,36,good,44.5588028,-72.5778415
Alaska,25,GREAT,64.2008413,-149.4936733
