"city","state","population","Median 1 BR rent","Median 2 BR rent","M/M rent change","Y/Y rent change","lat","lng","id"
"New York","NY","8491079","2070","2470","0.3%","0.4%","40.7127753","-74.0059728","99"
"Los Angeles","CA","3928864","1360","1740","0.1%","2.1%","34.0522342","-118.2436849","90"
"Chicago","IL","2722389","1070","1260","0.2%","-0.6%","41.8781136","-87.6297982","80"
"Houston","TX","2239558","840","1020","0.2%","3.1%","29.7604267","-95.3698028","50"
"Philadelphia","PA","1560297","960","1160","0.2%","1.1%","39.9525839","-75.1652215","68"
"Phoenix","AZ","1537058","830","1030","0.3%","2.3%","33.4483771","-112.0740373","45"
"San Antonio","TX","1436697","830","1050","0.3%","0.7%","29.4241219","-98.4936282","46"
"San Diego","CA","1381069","1550","2010","-0.1%","1.9%","32.7157380","-117.1610838","94"
"Dallas","TX","1281047","890","1100","0.2%","1.3%","32.7766642","-96.7969879","56"
"San Jose","CA","1015785","2060","2580","0.5%","2.4%","37.3382082","-121.8863286","98"
"Austin","TX","912791","1120","1380","0.2%","0.1%","30.2671530","-97.7430608","82"
"Jacksonville","FL","853382","870","1060","0.3%","2.5%","30.3321838","-81.6556510","54"
"San Francisco","CA","852469","2440","3060","0.0%","1.3%","37.7749295","-122.4194155","100"
"Indianapolis","IN","848788","690","850","0.2%","1.7%","39.7684030","-86.1580680","19"
"Columbus","OH","835957","740","950","0.1%","1.5%","39.9611755","-82.9987942","33"
"Fort Worth","TX","812238","910","1130","0.3%","1.3%","32.7554883","-97.3307658","60"
"Charlotte","NC","809958","950","1110","0.5%","1.9%","35.2270869","-80.8431267","66"
"Detroit","MI","680250","680","890","0.2%","0.8%","42.3314270","-83.0457538","17"
"El Paso","TX","679036","680","830","0.2%","0.6%","31.7618778","-106.4850217","18"
"Seattle","WA","668342","1320","1650","-0.2%","0.2%","47.6062095","-122.3320708","88"
"Denver","CO","663862","1050","1320","0.4%","1.6%","39.7392358","-104.9902510","76"
"Washington","DC","658893","1320","1520","0.1%","-0.2%","38.9071923","-77.0368707","89"
"Memphis","TN","656861","690","820","0.1%","0.5%","35.1495343","-90.0489801","20"
"Boston","MA","655884","1670","2080","0.3%","1.0%","42.3600825","-71.0588801","97"
"Nashville","TN","644014","910","1120","0.3%","0.5%","36.1626638","-86.7816016","61"
"Baltimore","MD","622793","940","1180","0.4%","-1.1%","39.2903848","-76.6121893","64"
"Oklahoma City","OK","620602","620","800","0.4%","-1.6%","35.4675602","-97.5164276","4"
"Portland","OR","619360","1130","1330","-0.4%","-1.4%","45.5230622","-122.6764815","83"
"Las Vegas","NV","613599","910","1130","0.3%","4.6%","36.1699412","-115.1398296","62"
"Milwaukee","WI","599642","720","890","0.3%","-0.6%","43.0389025","-87.9064736","27"
"Albuquerque","NM","557169","710","870","-0.1%","1.8%","35.0843859","-106.6504220","23"
"Tucson","AZ","527972","700","920","0.0%","2.0%","32.2226066","-110.9747108","21"
"Fresno","CA","515986","820","1020","0.0%","3.2%","36.7377981","-119.7871247","44"
"Sacramento","CA","485199","940","1200","0.0%","4.0%","38.5815719","-121.4943996","65"
"Long Beach","CA","473577","1370","1760","-0.1%","2.0%","33.7700504","-118.1937395","91"
"Kansas City","MO","470800","730","900","0.3%","0.3%","39.0997265","-94.5785667","31"
