state,whyIsStateNameSo
alabama,backwards
alabama,good at football
alabama,slow on refunds
alabama,why is alabama soil red
alabama,boring
alabama,conservative
alabama,republican
alaska,dangerous
alaska,warm this winter
alaska,rich in gold
alaska,important archaeologically
alaska,expensive to live
alaska,cold
alaska,conservative
alaska,beautiful
alaska,special
alaska,violent
arizona,conservative
arizona,boring
arizona,hot
arizona,haunted
arizona,dry
arizona,backward
arizona,right wing
arizona,windy
arkansas,poor
arkansas,humid
arkansas,boring
arkansas,important
california,expensive
california,liberal
california,hot
california,screwed up
california,popular
california,polluted
california,earthquake prone
california,humid
california,broke
california,weird
colorado,liberal
colorado,dry
colorado,fit
colorado,commercial
colorado,hazy today
colorado,expensive
colorado,important
colorado,healthy
colorado,popular
colorado,special
connecticut,expensive
connecticut,haunted
connecticut,depressing
connecticut,ghetto
connecticut,liberal
connecticut,cold
connecticut,rich
connecticut,boring
connecticut,expensive to live
delaware,business friendly
delaware,boring
delaware,small
florida,important in elections
florida,flat
florida,cold
florida,boring
florida,dry
florida,windy
florida,wet
georgia,why is georgia soil red
georgia,backwards
georgia,popular
georgia,why is georgia so
georgia,humid
georgia,poor
georgia,hot
hawaii,great
hawaii,expensive to live
hawaii,liberal
hawaii,popular
hawaii,lush with vegetation
hawaii,beautiful
hawaii,diverse
hawaii,awesome
hawaii,why is hawaii soil red
hawaii,democratic
idaho,conservative
idaho,underrated
idaho,cold
idaho,republican
illinois,special
illinois,corrupt
illinois,far in debt
illinois,democratic
illinois,expensive
illinois,important
illinois,liberal
illinois,broke
illinois,humid
illinois,flat
indiana,backwards
indiana,boring
indiana,humid
indiana,fat
indiana,windy
indiana,conservative
indiana,republican
indiana,important
indiana,unhealthy
iowa,important in elections
iowa,liberal
iowa,cold
iowa,democratic
iowa,windy
iowa,important for candidates
iowa,important in elections wiki
iowa,important
iowa,important in presidential race
iowa,important in politics
kansas,flat
kansas,conservative
kansas,windy
kansas,humid
kansas,boring
kansas,republican
kansas,windy joke
kentucky,good at basketball
kentucky,stuck on using ilp
kentucky,why is kentucky soil important
kentucky,messed up
kentucky,miserable
kentucky,weird
kentucky,poor
louisiana,poor
louisiana,humid
louisiana,corrupt
louisiana,dangerous
louisiana,haunted
louisiana,behind
louisiana,french
louisiana,unique
louisiana,dirty
maine,liberal
maine,cold
maine,white
maine,poor
maryland,expensive
maryland,liberal
maryland,small
maryland,democratic
maryland,dirty
maryland,rich
massachusetts,liberal
massachusetts,expensive
massachusetts,democratic
michigan,cold meme
michigan,poor
michigan,cloudy
michigan,expensive
michigan,liberal
michigan,boring
michigan,cold this spring
michigan,cold
minnesota,liberal
minnesota,cold in the winter
minnesota,democratic
minnesota,unfriendly
minnesota,good
minnesota,cold
mississippi,poor
mississippi,fat
mississippi,corrupt
mississippi,backwards
mississippi,humid
mississippi,hot
missouri,humid
missouri,when is missouri southern spring break
missouri,conservative
missouri,special
montana,expensive
montana,unpopulated
montana,boring
nebraska,boring
nebraska,humid
nebraska,windy joke
nebraska,flat
nebraska,windy
nevada,dry
nevada,popular
nevada,empty
new+hampshire,important in elections
new+hampshire,slow to count votes
new+hampshire,liberal
new+hampshire,conservative
new+hampshire,important
new+jersey,expensive
new+jersey,corrupt
new+jersey,populated
new+jersey,liberal
new+jersey,small
new+jersey,dirty
new+jersey,trashy
new+jersey,italian
new+jersey,expensive to live in
new+mexico,windy
new+mexico,enchanting
new+mexico,dangerous
new+mexico,liberal
new+mexico,violent
new+mexico,poor
new+mexico,dry
new+york,expensive
new+york,dirty
new+york,famous
new+york,liberal
new+york,humid
new+york,populated
new+york,special
new+york,important
new+york,crowded
new+york,warm this winter
north+carolina,super special
north+carolina,conservative
north+carolina,homophobic
north+carolina,important
north+carolina,liberal
north+carolina,why is north carolina soil red
north+carolina,special
north+dakota,conservative
north+dakota,windy
north+dakota,cold
ohio,important
ohio,humid
ohio,miserable
ohio,cloudy
ohio,conservative
ohio,boring
ohio,flat
ohio,famous
oklahoma,why is oklahoma soil red
