citystate,rent,rentText,unitLabel,title,location,phone,availability,availabilityText,lastUpdated,listingid,url,img,itemTitle,logo,image,streetAddress,city,state,zip,lat,lng
"akron-oh","415","$415","Condo for Rent","1719 Dominion Dr","Akron, OH 44313","","1","Available Now","9 hrs","3w527fg","https://www.apartments.com/1719-dominion-dr-akron-oh/3w527fg/","https://images1.apartments.com/i2/mqVfHn4NJV9OkdlIZEc6ktW4eNTC_GDbD9KaOVkGBGE/104/1719-dominion-dr-akron-oh-building-photo.jpg","1719 Dominion Dr","undefined","https://images1.apartments.com/i2/mqVfHn4NJV9OkdlIZEc6ktW4eNTC_GDbD9KaOVkGBGE/104/1719-dominion-dr-akron-oh-building-photo.jpg","1719 Dominion Dr","Akron","OH","44313","41.12628","-81.56943",
"akron-oh","425","$425","1 Bedroom","Pine Pointe Apartments","501-515 Carpenter St, Akron, OH 44310","","1","Available Now","2 wks","3vkm89f","https://www.apartments.com/pine-pointe-apartments-akron-oh/3vkm89f/","https://images1.apartments.com/i2/P4qe0nFhoj_2UoILXz62Xdc5oUUb2VcrPxZuW_Ryuko/104/pine-pointe-apartments-akron-oh-building-photo.jpg","Pine Pointe Apartments","undefined","https://images1.apartments.com/i2/P4qe0nFhoj_2UoILXz62Xdc5oUUb2VcrPxZuW_Ryuko/104/pine-pointe-apartments-akron-oh-building-photo.jpg","501-515 Carpenter St","Akron","OH","44310","41.09915","-81.51885",
"akron-oh","450","$450","House for Rent","469 Inman St","Akron, OH 44306","","1","Available Now","1 wk","15zjyc5","https://www.apartments.com/469-inman-st-akron-oh/15zjyc5/","https://images1.apartments.com/i2/8n1LJ6iq6HuIzB_nHjHwNMKu7-ZAyewLcwS9OL8Kcfc/104/469-inman-st-akron-oh-primary-photo.jpg","469 Inman St","undefined","https://images1.apartments.com/i2/8n1LJ6iq6HuIzB_nHjHwNMKu7-ZAyewLcwS9OL8Kcfc/104/469-inman-st-akron-oh-primary-photo.jpg","469 Inman St","Akron","OH","44306","41.06568","-81.50002",
"akron-oh","450","$450","2 Bedroom","469 Inman St Unit Up","Akron, OH 44306","","1","Available Now","1 day","prhe3ps","https://www.apartments.com/469-inman-st-akron-oh/prhe3ps/","https://images1.apartments.com/i2/Qe2-Rl_TEmB0ohnsDtvSY7DQ2Fy2xUENr3hjD5rugW0/104/469-inman-st-akron-oh-building-photo.jpg","469 Inman St Unit Up","undefined","https://images1.apartments.com/i2/Qe2-Rl_TEmB0ohnsDtvSY7DQ2Fy2xUENr3hjD5rugW0/104/469-inman-st-akron-oh-building-photo.jpg","469 Inman St Unit Up","Akron","OH","44306","41.06568","-81.50002",
"akron-oh","495","$495 - 689","Studio - 2 Bedroom","Alphada Place","1446 Alphada Ave, Akron, OH 44310","234-542-5940","1","Available Now","2 wks","qdkl85z","https://www.apartments.com/alphada-place-akron-oh/qdkl85z/","https://images1.apartments.com/i2/ZQF_IDFR1q0E_FbC1ONlsY7VV_lANszu7aiPAsdJ8PI/106/alphada-place-akron-oh-building-photo.jpg","Alphada Place","https://images1.apartments.com/i2/XNtg_E9NjtsHibCa_irhGD-NibPv_8s1JXcKuICkPSY/110/castle-apartments-inc-logo.png","https://images1.apartments.com/i2/ZQF_IDFR1q0E_FbC1ONlsY7VV_lANszu7aiPAsdJ8PI/106/alphada-place-akron-oh-building-photo.jpg","1446 Alphada Ave","Akron","OH","44310","41.10369","-81.46922",
"akron-oh","495","$495","1 Bedroom","275 Swartz Rd","Akron, OH 44319","","1","Available Now","2 wks","zsrjyrz","https://www.apartments.com/275-swartz-rd-akron-oh/zsrjyrz/","https://images1.apartments.com/i2/vtvoHLJcydW4XwYINpIcESZjZ1oqgJ874Ros7F4WX2c/104/275-swartz-rd-akron-oh-primary-photo.jpg","275 Swartz Rd","undefined","https://images1.apartments.com/i2/vtvoHLJcydW4XwYINpIcESZjZ1oqgJ874Ros7F4WX2c/104/275-swartz-rd-akron-oh-primary-photo.jpg","275 Swartz Rd","Akron","OH","44319","41.02214","-81.51631",
"akron-oh","499","$499","3 Bedroom","473 Zahn Dr Unit Unit B","Akron, OH 44313","","1","Available Now","2 hrs","9fl2mr5","https://www.apartments.com/473-zahn-dr-akron-oh/9fl2mr5/","https://images1.apartments.com/i2/tg7_E3G8MUEc9YyZZamhk4mH1Le5KVdZRza0FGnCUJ0/104/473-zahn-dr-akron-oh-building-photo.jpg","473 Zahn Dr Unit Unit B","undefined","https://images1.apartments.com/i2/tg7_E3G8MUEc9YyZZamhk4mH1Le5KVdZRza0FGnCUJ0/104/473-zahn-dr-akron-oh-building-photo.jpg","473 Zahn Dr Unit Unit B","Akron","OH","44313","41.12317","-81.57207",
"akron-oh","500","$500","1 Bedroom","Hill Chateau Apartments","26 E Tallmadge Ave, Akron, OH 44310","","1","Available Now","2 wks","0rs4ls3","https://www.apartments.com/hill-chateau-apartments-akron-oh/0rs4ls3/","https://images1.apartments.com/i2/K74WCQ7ZjJM9HsjGqsYMyk_rCAaoQl-IuRbPhtQpOm4/104/hill-chateau-apartments-akron-oh-building-photo.jpg","Hill Chateau Apartments","undefined","https://images1.apartments.com/i2/K74WCQ7ZjJM9HsjGqsYMyk_rCAaoQl-IuRbPhtQpOm4/104/hill-chateau-apartments-akron-oh-building-photo.jpg","26 E Tallmadge Ave","Akron","OH","44310","41.10179","-81.51407",
"akron-oh","500","$500","2 Bedroom","Neville Apartments","1015-1077 Neville Ave, Akron, OH 44306","","1","Available Now","2 wks","ewdc9np","https://www.apartments.com/neville-apartments-akron-oh/ewdc9np/","","Neville Apartments","undefined","https://images1.apartments.com/i2/O2qmfuONlfERqQ8OoNFYS8iigDwNUCpuilgxbN4FEFA/104/neville-apartments-akron-oh-primary-photo.jpg","1015-1077 Neville Ave","Akron","OH","44306","41.04429","-81.49038",
"akron-oh","500","$500","House for Rent","646 Grace Ave","Akron, OH 44320","","1","Available Now","2 hrs","b7f71tc","https://www.apartments.com/646-grace-ave-akron-oh/b7f71tc/","","646 Grace Ave","undefined","https://images1.apartments.com/i2/m69KPHxOhvolOfKHXtA29y6SPeV54h4dZ-hbnzzDQjU/104/646-grace-ave-akron-oh-primary-photo.jpg","646 Grace Ave","Akron","OH","44320","41.0805","-81.5526",
"akron-oh","500","$500","1 Bedroom","96 Hall St Unit Unit 3","Akron, OH 44303","","1","Available Now","2 hrs","mtch31l","https://www.apartments.com/96-hall-st-akron-oh/mtch31l/","","96 Hall St Unit Unit 3","undefined","https://images1.apartments.com/i2/_lrd3fL9ejhBVcQKKZSro6ucF2kWFEaxIxE_y12gk2I/104/96-hall-st-akron-oh-building-photo.jpg","96 Hall St Unit Unit 3","Akron","OH","44303","41.08761","-81.52968",
"akron-oh","515","$515","2 Bedroom","153 Cuyahoga St","Akron, OH 44304","","1","Available Now","2 hrs","x4v78xp","https://www.apartments.com/153-cuyahoga-st-akron-oh/x4v78xp/","","153 Cuyahoga St","undefined","https://images1.apartments.com/i2/ambkAKfx-YKHPOgZs1voZZkztfDUv3jUc1dqnlyJJiI/104/153-cuyahoga-st-akron-oh-building-photo.jpg","153 Cuyahoga St","Akron","OH","44304","41.09547","-81.51868",
"akron-oh","520","$520 - 785","1-2 Bedroom","Shoreline Beach Club","669 Carnegie Ave, Akron, OH 44314","330-752-6321","1","Available Now","2 wks","vlw0xff","https://www.apartments.com/shoreline-beach-club-akron-oh/vlw0xff/","","Shoreline Beach Club","https://images1.apartments.com/i2/3S1OJafrZL2udm7HXUeY3m4hzflC3cY0Uqj0ql5ojI8/110/king-apartments-shoreline-beach-club-logo.png","https://images1.apartments.com/i2/K9hf_A3PD1mt5CNbBNVK7FqBiLU50vezCjO79EstETk/106/shoreline-beach-club-akron-oh-building-photo.jpg","669 Carnegie Ave","Akron","OH","44314","41.02479","-81.55351",
