citystate,rent,rentText,unitLabel,title,location,phone,availability,availabilityText,lastUpdated,listingid,url,img,itemTitle,logo,image,streetAddress,city,state,zip,lat,lng
akron-oh,385,$385,2 Bed,Roo Commons,"406 Sumner St, Akron, OH 44304",,1,Available Now,2 wks,ewr60hm,https://www.apartments.com/roo-commons-akron-oh/ewr60hm/,https://images1.apartments.com/i2/37CIgAp50LkgQnubVFUmgGA2l3SRFmG9ZdNMv6rgzEA/104/roo-commons-akron-oh-building-photo.jpg,Roo Commons,undefined,https://images1.apartments.com/i2/37CIgAp50LkgQnubVFUmgGA2l3SRFmG9ZdNMv6rgzEA/104/roo-commons-akron-oh-building-photo.jpg,406 Sumner St,Akron,OH,44304,0,0
akron-oh,399,$399,2 Bed,469 Inman St Unit Up,"Akron, OH 44306",,1,Available Now,,prhe3ps,https://www.apartments.com/469-inman-st-akron-oh-unit-up/prhe3ps/,https://images1.apartments.com/i2/Qe2-Rl_TEmB0ohnsDtvSY8BncEmmWRbKb5lxO9g3nCA/104/469-inman-st-unit-up-akron-oh-building-photo.jpg,469 Inman St Unit Up,undefined,https://images1.apartments.com/i2/Qe2-Rl_TEmB0ohnsDtvSY8BncEmmWRbKb5lxO9g3nCA/104/469-inman-st-unit-up-akron-oh-building-photo.jpg,469 Inman St Unit Up,Akron,OH,44306,0,0
akron-oh,427,$427,House for Rent,499 Brown St,"Akron, OH 44311",,1,Available Now,,vflcscd,https://www.apartments.com/499-brown-st-akron-oh/vflcscd/,https://images1.apartments.com/i2/KBy4Be9fk0Hal6dCs0WnJrSXDIRwWD9bXgmbuK8Sr5U/104/499-brown-st-akron-oh-building-photo.jpg,499 Brown St,undefined,https://images1.apartments.com/i2/KBy4Be9fk0Hal6dCs0WnJrSXDIRwWD9bXgmbuK8Sr5U/104/499-brown-st-akron-oh-building-photo.jpg,499 Brown St,Akron,OH,44311,0,0
akron-oh,450,$450,House for Rent,805 Biruta St,"Akron, OH 44307",,1,Available Now,3 hrs,rv9fc83,https://www.apartments.com/805-biruta-st-akron-oh/rv9fc83/,https://images1.apartments.com/i2/AhJHWqO4gD9KgBNNfncLAE1sXhr-LPI9KLnJdacfEGU/104/805-biruta-st-akron-oh-building-photo.jpg,805 Biruta St,undefined,https://images1.apartments.com/i2/AhJHWqO4gD9KgBNNfncLAE1sXhr-LPI9KLnJdacfEGU/104/805-biruta-st-akron-oh-building-photo.jpg,805 Biruta St,Akron,OH,44307,0,0
akron-oh,450,$450,1 Bed,430 Sumner St Unit 101 A,"Akron, OH 44304",,1,Available Now,,dkf6ffh,https://www.apartments.com/430-sumner-st-akron-oh-unit-101-a/dkf6ffh/,https://images1.apartments.com/i2/A2mD0XGNpwTTg1pQXPEUE2WJvd8anyQdepIwhy2AIkk/104/430-sumner-st-unit-101-a-akron-oh-building-photo.jpg,430 Sumner St Unit 101 A,undefined,https://images1.apartments.com/i2/A2mD0XGNpwTTg1pQXPEUE2WJvd8anyQdepIwhy2AIkk/104/430-sumner-st-unit-101-a-akron-oh-building-photo.jpg,430 Sumner St Unit 101 A,Akron,OH,44304,0,0
akron-oh,450,$450,1 Bed,430 Sumner St Unit 101 B,"Akron, OH 44304",,1,Available Now,,6d7nqrs,https://www.apartments.com/430-sumner-st-akron-oh-unit-101-b/6d7nqrs/,https://images1.apartments.com/i2/pTTdlbvyJau7cFW8zdD6U25x4cIWQ4FuTz9z6opPV80/104/430-sumner-st-unit-101-b-akron-oh-building-photo.jpg,430 Sumner St Unit 101 B,undefined,https://images1.apartments.com/i2/pTTdlbvyJau7cFW8zdD6U25x4cIWQ4FuTz9z6opPV80/104/430-sumner-st-unit-101-b-akron-oh-building-photo.jpg,430 Sumner St Unit 101 B,Akron,OH,44304,0,0
akron-oh,465,$465,Condo for Rent,96 Hall St,"Akron, OH 44303",,1,Available Now,55 min,lzwcg3e,https://www.apartments.com/96-hall-st-akron-oh/lzwcg3e/,https://images1.apartments.com/i2/EpvZTVPgh-DKwOFcfsXwzZNtCs9XRBNAQfLY5DYvGcI/104/96-hall-st-akron-oh-building-photo.jpg,96 Hall St,undefined,https://images1.apartments.com/i2/EpvZTVPgh-DKwOFcfsXwzZNtCs9XRBNAQfLY5DYvGcI/104/96-hall-st-akron-oh-building-photo.jpg,96 Hall St,Akron,OH,44303,0,0
akron-oh,475,$475 - 675,1-2 Bed,Shoreline Beach Club,"669 Carnegie Ave, Akron, OH 44314",330-752-6321,1,Available Now,2 wks,vlw0xff,https://www.apartments.com/shoreline-beach-club-akron-oh/vlw0xff/,,Shoreline Beach Club,https://images1.apartments.com/i2/3S1OJafrZL2udm7HXUeY3ozgRKzx8lmREBIvKXi2T70/110/king-apartments-shoreline-beach-club-logo.png,https://images1.apartments.com/i2/yFYZ_Tnxtg_FQJWTVt05BMga7ocCJM4Xo1HVu8MkgTM/106/shoreline-beach-club-akron-oh-building-photo.jpg,669 Carnegie Ave,Akron,OH,44314,0,0
akron-oh,495,$495 - 679,Studio - 2 Bed,Alphada Place,"1446 Alphada Ave, Akron, OH 44310",234-542-5940,1,Available Now,2 wks,qdkl85z,https://www.apartments.com/alphada-place-akron-oh/qdkl85z/,,Alphada Place,https://images1.apartments.com/i2/XNtg_E9NjtsHibCa_irhGEQBYf-CUv6VeL9QUB100c4/110/castle-apartments-inc-logo.png,https://images1.apartments.com/i2/ZQF_IDFR1q0E_FbC1ONlscKFz7N5y4vHa1tX3g9YlNo/106/alphada-place-akron-oh-building-photo.jpg,1446 Alphada Ave,Akron,OH,44310,0,0
akron-oh,495,$495,1 Bed,1283 E Tallmadge Ave,"Akron, OH 44310",,1,Available Now,2 wks,xm99ktq,https://www.apartments.com/1283-e-tallmadge-ave-akron-oh/xm99ktq/,,1283 E Tallmadge Ave,undefined,https://images1.apartments.com/i2/dHZm3CRG0U8HPnRrOSv8TsHtwkCYm72NMdK7sUEwk-I/104/1283-e-tallmadge-ave-akron-oh-building-photo.jpg,1283 E Tallmadge Ave,Akron,OH,44310,0,0
