year,sex,rank,name,size,perc,total_size,total_perc
1981,M,1,Michael,1219,3.4,1219,3.4
1982,M,1,Michael,1183,3.3,1183,3.3
1983,M,1,Michael,1168,3.3,1168,3.3
1980,M,1,Michael,1167,3.4,1167,3.4
1984,M,1,Christopher,1136,3.2,1136,3.2
1984,M,2,Michael,1133,3.2,2269,6.4
1988,M,1,Michael,1130,3.0,1130,3.0
1987,M,1,Michael,1095,3.0,1095,3.0
1982,M,2,Christopher,1085,3.1,2268,6.4
1983,M,2,Christopher,1083,3.1,2251,6.4
1985,M,1,Christopher,1081,3.0,1081,3.0
1981,F,1,Jennifer,1078,3.2,1078,3.2
1990,M,1,Michael,1066,2.6,1066,2.6
1985,M,2,Michael,1064,3.0,2145,6.0
1983,F,1,Jennifer,1060,3.2,1060,3.2
1980,F,1,Jennifer,1059,3.2,1059,3.2
1989,M,1,Michael,1055,2.7,1055,2.7
1991,M,1,Michael,1030,2.5,1030,2.5
1986,M,1,Michael,1023,2.9,1023,2.9
1981,M,2,Christopher,1016,2.8,2235,6.2
1982,F,1,Jennifer,1010,3.0,1010,3.0
1983,M,3,Matthew,988,2.8,3239,9.2
1986,M,2,Christopher,977,2.7,2000,5.6
1988,F,1,Jessica,955,2.7,955,2.7
1981,M,3,Joshua,955,2.7,3190,8.9
1982,M,3,Matthew,940,2.6,3208,9.0
1988,M,2,Christopher,937,2.5,2067,5.6
1990,M,2,Christopher,919,2.3,1985,4.9
1980,M,2,Jason,913,2.6,2080,6.0
1987,F,1,Jessica,911,2.7,911,2.7
1992,M,1,Michael,909,2.2,909,2.2
1986,F,1,Jessica,908,2.7,908,2.7
1984,F,1,Jennifer,908,2.7,908,2.7
1984,M,3,Matthew,896,2.5,3165,8.9
1987,F,2,Ashley,894,2.6,1805,5.3
1985,M,3,Joshua,890,2.5,3035,8.5
1989,M,2,Christopher,884,2.3,1939,5.0
1980,M,3,Christopher,884,2.5,2964,8.5
1987,M,2,Christopher,880,2.4,1975,5.5
1989,F,1,Jessica,879,2.4,879,2.4
1988,F,2,Ashley,876,2.5,1831,5.2
1989,F,2,Ashley,868,2.4,1747,4.7
1985,F,1,Jessica,866,2.5,866,2.5
1985,M,4,Matthew,862,2.4,3897,10.9
1980,M,4,Joshua,857,2.5,3821,11.0
1990,F,1,Jessica,855,2.2,855,2.2
1991,F,1,Jessica,849,2.2,849,2.2
1984,M,4,Joshua,847,2.4,4012,11.3
1987,F,3,Amanda,837,2.5,2642,7.8
1983,M,4,Ryan,833,2.4,4072,11.5
1990,M,3,Joshua,830,2.0,2815,6.9
1980,M,5,Matthew,827,2.4,4648,13.3
1985,F,2,Jennifer,825,2.4,1691,4.9
1983,M,5,Joshua,824,2.3,4896,13.9
1987,M,3,Matthew,822,2.3,2797,7.7
1981,M,4,Ryan,821,2.3,4011,11.2
1991,M,2,Christopher,816,2.0,1846,4.5
1987,M,4,Andrew,815,2.3,3612,10.0
1982,M,4,Ryan,809,2.3,4017,11.3
1990,F,2,Ashley,808,2.1,1663,4.3
1986,F,2,Ashley,807,2.4,1715,5.1
1988,M,3,Joshua,805,2.2,2872,7.7
1986,M,3,Joshua,805,2.3,2805,7.9
1982,M,5,Joshua,804,2.3,4821,13.6
1984,F,2,Jessica,799,2.4,1707,5.1
1981,M,5,Matthew,799,2.2,4810,13.4
1988,F,3,Amanda,798,2.3,2629,7.4
1986,M,4,Matthew,798,2.2,3603,10.1
1993,M,1,Michael,797,2.0,797,2.0
1991,F,2,Ashley,797,2.0,1646,4.2
1989,M,3,Joshua,797,2.1,2736,7.1
1980,M,6,David,797,2.3,5445,15.6
1982,F,2,Jessica,794,2.3,1804,5.3
1991,M,3,Joshua,793,1.9,2639,6.5
1981,F,2,Jessica,793,2.3,1871,5.5
1987,M,5,Joshua,791,2.2,4403,12.2
1990,F,3,Amanda,789,2.0,2452,6.3
1996,M,1,Jacob,788,2.0,788,2.0
1995,M,1,Jacob,786,2.0,786,2.0
1989,M,4,Matthew,785,2.0,3521,9.1
1994,M,1,Jacob,782,2.0,782,2.0
1983,F,2,Jessica,782,2.3,1842,5.5
1981,M,6,David,775,2.2,5585,15.6
1981,M,7,Jason,772,2.2,6357,17.8
1992,M,2,Jacob,771,1.9,1680,4.1
1986,M,5,Andrew,768,2.2,4371,12.3
1998,M,1,Jacob,767,1.9,767,1.9
1989,M,5,Andrew,765,2.0,4286,11.1
1983,M,6,David,765,2.2,5661,16.0
1990,M,4,Matthew,764,1.9,3579,8.8
1980,M,7,Ryan,763,2.2,6208,17.8
1985,M,5,Ryan,762,2.1,4659,13.0
1993,M,2,Jacob,758,1.9,1555,3.9
1982,F,3,Sarah,755,2.2,2559,7.5
1992,M,3,Tyler,753,1.8,2433,5.9
1989,F,3,Amanda,752,2.0,2499,6.8
1985,M,6,David,751,2.1,5410,15.1
1992,M,4,Joshua,750,1.8,3183,7.7
1988,M,4,Andrew,748,2.0,3620,9.7
1982,M,6,David,747,2.1,5568,15.7
1991,M,4,Jacob,745,1.8,3384,8.3
1990,M,5,Kyle,741,1.8,4320,10.6
1982,M,7,Jason,740,2.1,6308,17.8
1992,F,1,Jessica,739,1.9,739,1.9
1993,M,3,Tyler,738,1.8,2293,5.7
1981,F,3,Sarah,734,2.2,2605,7.7
1991,F,3,Amanda,733,1.9,2379,6.1
1985,F,3,Ashley,733,2.1,2424,7.1
1997,M,1,Jacob,731,1.8,731,1.8
1999,M,1,Jacob,729,1.8,729,1.8
1988,M,5,Matthew,726,2.0,4346,11.7
1986,F,3,Amanda,726,2.1,2441,7.2
1984,M,5,Ryan,722,2.0,4734,13.4
1991,M,5,Matthew,710,1.7,4094,10.0
1984,M,6,David,710,2.0,5444,15.4
1985,F,4,Amanda,709,2.1,3133,9.1
1990,M,6,Andrew,708,1.7,5028,12.4
1991,M,6,Tyler,707,1.7,4801,11.7
1994,M,2,Michael,706,1.8,1488,3.8
1991,M,7,Andrew,706,1.7,5507,13.5
1993,F,1,Jessica,705,1.8,705,1.8
1994,M,3,Tyler,702,1.8,2190,5.5
1986,M,6,Ryan,696,2.0,5067,14.3
1990,M,7,Jacob,694,1.7,5722,14.1
1986,F,4,Jennifer,694,2.0,3135,9.3
1983,F,3,Sarah,692,2.1,2534,7.6
1994,F,1,Jessica,687,1.8,687,1.8
1980,F,2,Sarah,687,2.1,1746,5.3
1993,M,4,Joshua,682,1.7,2975,7.4
1992,M,5,Christopher,677,1.6,3860,9.4
1992,F,2,Ashley,672,1.7,1411,3.6
1996,M,2,Austin,671,1.7,1459,3.6
1984,M,7,Andrew,671,1.9,6115,17.3
1983,M,7,Jason,671,1.9,6332,17.9
1995,M,2,Michael,669,1.7,1455,3.7
1988,M,6,David,669,1.8,5015,13.5
1980,M,8,Justin,669,1.9,6877,19.7
1986,M,7,Daniel,668,1.9,5735,16.1
1989,M,6,Daniel,667,1.7,4953,12.8
1988,M,7,Ryan,663,1.8,5678,15.3
1987,M,6,Ryan,662,1.8,5065,14.0
1985,M,7,Andrew,661,1.8,6071,16.9
1990,M,8,Ryan,660,1.6,6382,15.7
1987,M,7,David,660,1.8,5725,15.8
2000,M,1,Jacob,659,1.6,659,1.6
1994,M,4,Joshua,656,1.7,2846,7.2
1995,M,3,Austin,653,1.7,2108,5.4
1990,M,9,David,652,1.6,7034,17.3
1989,M,7,Ryan,652,1.7,5605,14.5
1986,M,8,David,650,1.8,6385,18.0
1997,F,1,Emily,649,1.7,649,1.7
1997,M,2,Michael,646,1.6,1377,3.4
1994,M,5,Austin,646,1.6,3492,8.8
2001,M,1,Jacob,642,1.6,642,1.6
1984,M,8,Daniel,642,1.8,6757,19.1
1995,M,4,Joshua,641,1.6,2749,7.0
1989,M,8,Nicholas,641,1.7,6246,16.2
1987,F,4,Sarah,640,1.9,3282,9.6
1991,M,8,Kyle,638,1.6,6145,15.0
1992,M,6,Andrew,637,1.5,4497,10.9
1987,M,8,Daniel,636,1.8,6361,17.6
1985,M,8,Daniel,636,1.8,6707,18.7
1983,M,8,Daniel,636,1.8,6968,19.7
1980,M,9,James,636,1.8,7513,21.6
1990,M,10,Tyler,627,1.5,7661,18.8
1993,F,2,Ashley,625,1.6,1330,3.5
1989,M,9,David,625,1.6,6871,17.8
1989,F,4,Sarah,624,1.7,3123,8.5
1982,M,8,Justin,623,1.8,6931,19.5
1984,F,3,Amanda,622,1.9,2329,6.9
1995,M,5,Tyler,620,1.6,3369,8.6
1980,F,3,Jessica,619,1.9,2365,7.2
1991,M,9,Ryan,617,1.5,6762,16.5
1990,M,11,Nicholas,616,1.5,8277,20.4
1987,M,9,Kyle,616,1.7,6977,19.3
1981,M,8,James,616,1.7,6973,19.5
1997,M,3,Austin,615,1.5,1992,5.0
1996,M,3,Michael,614,1.5,2073,5.2
1982,M,9,Daniel,613,1.7,7544,21.2
1981,M,9,Daniel,612,1.7,7585,21.2
1987,M,10,Justin,611,1.7,7588,21.0
1980,M,10,Daniel,611,1.8,8124,23.3
1989,M,10,Kyle,610,1.6,7481,19.4
1991,M,10,Nicholas,608,1.5,7370,18.0
1988,M,8,Justin,608,1.6,6286,16.9
1986,F,5,Sarah,607,1.8,3742,11.1
1983,M,9,Andrew,607,1.7,7575,21.4
1988,M,9,Kyle,606,1.6,6892,18.5
1992,M,7,Matthew,603,1.5,5100,12.4
1993,M,5,Christopher,601,1.5,3576,8.9
1985,M,9,Nicholas,599,1.7,7306,20.4
1981,M,10,Robert,597,1.7,8182,22.9
1998,M,2,Michael,596,1.5,1363,3.3
1992,M,8,Kyle,596,1.4,5696,13.8
1984,F,4,Sarah,595,1.8,2924,8.7
