title,latitude,longitude,city,state,category_title,price,stars,star_rating
Galbraith Lake Campground,68.45331,-149.48328,Galbraith Lake,Alaska,BLM,FREE,5,2.5
Downtown Chicken,64.07135,-141.94254,Chicken,Alaska,Parking Lot,FREE,5,2.5
Otto Lake,63.8453,-149.017,Healy,Alaska,BLM,FREE,5,2.5
Tesoro Gas Station,63.3379,-143.0089,Tok,Alaska,Parking Lot,FREE,5,2.5
Lakeview Campground,62.964214,-141.63992,Northway,Alaska,Dept. Fish & Wildlife,FREE,5,2.5
Deadman Lake Campground,62.88887,-141.5415,Northway,Alaska,Dept. Fish & Wildlife,FREE,5,2.5
Hay Lake Campground,60.242027,-123.420815,Fort Liard,Northwest Territories,City Park,FREE,5,2.5
Clements Lake Recreation Site,56.048153,-129.90248,Premier,British Columbia,State Forest,FREE,5,2.5
White Swan Park Campground,54.062767,-124.846466,Fraser Lake,British Columbia,City Park,FREE,5,2.5
Abraham Lake,52.289303,-116.375725,Cline River,Alberta,Unknown/Other,FREE,5,2.5
Stoney Nakoda Resort & Casino,51.101135,-115.01563,Kananaskis,Alberta,Parking Lot,FREE,5,2.5
Grey Eagle Resort & Casino,51.007023,-114.1462,Calgary,Alberta,Parking Lot,FREE,5,2.5
Terzaghi Dam Campsite,50.788074,-122.21826,Pavilion,British Columbia,Utility,FREE,5,2.5
Lodgepole Lake,50.517,-120.521,Logan Lake,British Columbia,Provincial Recreation Site,FREE,5,2.5
N'kwala Recreation Site,50.159477,-121.04671,Thompson-Nicola N,British Columbia,Provincial Recreation Site,FREE,5,2.5
Co-op Cardlock Gas Station & RV Dump,50.139923,-101.64819,Moosomin,Saskatchewan,Dump Station,FREE,5,2.5
James Lake Recreation Site,49.95566,-119.25068,Kelowna,British Columbia,BLM,FREE,5,2.5
West Hawk Lake Dump Station,49.74784,-95.21859,Whiteshell,Manitoba,Dump Station,FREE,5,2.5
Home Hardware Building Centre,49.531956,-115.749016,Cranbrook,British Columbia,Parking Lot,FREE,5,2.5
Fernie Alpine Resort,49.463066,-115.085846,Fernie,British Columbia,Parking Lot,FREE,5,2.5
Silver Skagit Road Turnout,49.35956,-121.47164,Hope,British Columbia,Unknown/Other,FREE,5,2.5
Osoyoos West Bench,49.010036,-119.489876,Osoyoos,British Columbia,Crown Land,FREE,5,2.5
Hozomeen Campground,48.985214,-121.07122,Rockport,Washington,National Park,FREE,5,2.5
Boundary Dam Campground,48.984337,-117.35088,Metaline Falls,Washington,Utility,FREE,5,2.5
Moyie River Road,48.824722,-116.16628,Bonners Ferry,Idaho,National Forest,FREE,5,2.5
Carden Cove,48.751396,-86.40206,Marathon,Ontario,City Park,FREE,5,2.5
Upper Bobcat,48.630913,-120.15831,Winthrop,Washington,Dept. Fish & Wildlife,FREE,5,2.5
Sherry Creek Campground,48.598846,-117.547325,Colville,Washington,Dept. Natural Resources,FREE,5,2.5
Walmart,48.552456,-117.91537,Colville,Washington,Parking Lot,FREE,5,2.5
Crawfish Lake Campground,48.48376,-119.21458,Tonasket,Washington,National Forest,FREE,5,2.5
Middle Fork Flathead River,48.464127,-114.0726,Columbia Falls,Montana,National Forest,FREE,5,2.5
Leader Lake Campground,48.361717,-119.69728,Okanogan,Washington,Dept. Natural Resources,FREE,5,2.5
North Bootlegger Campground,48.36032,-111.326485,Shelby,Montana,Bureau of Reclamation,FREE,5,2.5
Zip's Loop Dispersed,48.26324,-113.41638,Essex,Montana,National Forest,FREE,5,2.5
Walmart,48.11091,-123.36043,Port Angeles,Washington,Parking Lot,FREE,5,2.5
Hot Springs Road Turnout,48.047813,-123.58763,Port Angeles,Washington,National Forest,FREE,5,2.5
Fernan Saddle,47.722263,-116.6082,Coeur d'Alene,Idaho,National Forest,FREE,5,2.5
Walmart,47.702816,-117.031296,Post Falls,Idaho,Parking Lot,FREE,5,2.5
Davenport Sports Complex,47.66247,-118.14545,Davenport,Washington,Parking Lot,FREE,5,2.5
Ankeny #1,47.62847,-119.32849,Coulee City,Washington,Dept. Fish & Wildlife,FREE,5,2.5
Old River Road,47.59577,-116.24412,Linfor,Idaho,National Forest,FREE,5,2.5
Nelson Creek Recreation Area,47.558,-106.226,Circle,Montana,Army Corps Of Engineers,FREE,5,2.5
Rose Lake,47.553364,-116.45539,Cataldo,Idaho,BLM,FREE,5,2.5
Owl Creek Packer Camp,47.44029,-113.6076,Condon,Montana,National Forest,FREE,5,2.5
Indian Camp Campground,47.290363,-120.956055,Cle Elum,Washington,Dept. Natural Resources,FREE,5,2.5
Liberty Recreation Site,47.246246,-120.68249,Liberty,Washington,BLM,FREE,5,2.5
