"id","firstname","midname","lastname","ftin","feet","inches","meters","gender"
"1","Verne",,"Troyer","2ft 8in","2","8.000","0.812800","M"
"2","Tony",,"Cox","3ft 6in","3","6.000","1.066800","M"
"3","Warwick",,"Davis","3ft 6in","3","6.000","1.066800","M"
"4","Phil",,"Fondacaro","3ft 6in","3","6.000","1.066800","M"
"5","Michael","J","Anderson","3ft 7in","3","7.000","1.092200","M"
"6","Kenny",,"Baker","3ft 8in","3","8.000","1.117600","M"
"7","Billy",,"Barty","3ft 9in","3","9.000","1.143000","M"
"8","Herve",,"Villechaize","3ft 10in","3","10.000","1.168400","M"
"9","David",,"Rappaport","3ft 11in","3","11.000","1.193800","M"
"10","Kiran",,"Shah","4ft 1.7in","4","1.700","1.262380","F"
"11","Peter",,"Dinklage","4ft 5in","4","5.000","1.346200","M"
"12","Gary",,"Coleman","4ft 7in","4","7.000","1.397000","M"
"13","Linda",,"Hunt","4ft 9in","4","9.000","1.447800","F"
"14","Brenda",,"Lee","4ft 9in","4","9.000","1.447800","F"
"15","Nicole",,"Polizzi","4ft 9in","4","9.000","1.447800","F"
"16","Lil",,"Kim","4ft 9.5in","4","9.500","1.460500",
"17","Nikki",,"Blonsky","4ft 10in","4","10.000","1.473200","F"
"18","Kristin",,"Chenoweth","4ft 10in","4","10.000","1.473200","F"
"19","Danny",,"DeVito","4ft 10in","4","10.000","1.473200","M"
"20","Kelly",,"Stables","4ft 10in","4","10.000","1.473200","F"
"21","Adrienne",,"Bailon","4ft 11in","4","11.000","1.498600","F"
"22","Tammy","Faye","Bakker","4ft 11in","4","11.000","1.498600","F"
"23","Nell",,"Carter","4ft 11in","4","11.000","1.498600","F"
"24","Alexis",,"Dziena","4ft 11in","4","11.000","1.498600","F"
"25","Danielle",,"Harris","4ft 11in","4","11.000","1.498600","F"
"26","Melissa",,"Howard","4ft 11in","4","11.000","1.498600","F"
"27","Leslie",,"Jordan","4ft 11in","4","11.000","1.498600","F"
"28","Veronica",,"Lake","4ft 11in","4","11.000","1.498600","F"
"29","Mary","Kate","Olsen","4ft 11in","4","11.000","1.498600","F"
"30","Melissa",,"Rauch","4ft 11in","4","11.000","1.498600","F"
"31","Charlene",,"Tilton","4ft 11in","4","11.000","1.498600","F"
"32","Jeillo",,"Edwards","4ft 11.5in","4","11.500","1.511300",
"33","Lorena",,"Gale","4ft 11.5in","4","11.500","1.511300","F"
"34","Lisa",,"Origlasso","4ft 11.5in","4","11.500","1.511300","F"
"35","Elaine",,"Paige","4ft 11.5in","4","11.500","1.511300","F"
"36","Jada","Pinkett","Smith","4ft 11.5in","4","11.500","1.511300","F"
"37","Marissa","Jaret","Winokur","4ft 11.5in","4","11.500","1.511300","F"
"38","Paula",,"Abdul","5ft 0in","5","0.000","1.524000","F"
"39","June",,"Allyson","5ft 0in","5","0.000","1.524000","F"
"40","Jan",,"Anderson","5ft 0in","5","0.000","1.524000","F"
"41","Pat",,"Benatar","5ft 0in","5","0.000","1.524000","F"
"42","Lucy",,"Benjamin","5ft 0in","5","0.000","1.524000","F"
"43","Alex",,"Borstein","5ft 0in","5","0.000","1.524000","F"
