State,Ease Of Filing Score,Divorce Filing Fee,Minimum Total Processing Time,Community Or Equitable Division Of Property,Divorce Rate 
Alaska,100,150,30,Equitable,14
South Dakota,98,95,60,Equitable,9
Wyoming,95,70,80,Equitable,10
Iowa,93,185,90,Equitable,10
Washington,91,280,90,Community,10
Maine,88,120,60,Equitable,11
Kansas,87,180,120,Equitable,10
Missouri,87,180,120,Equitable,10
Nevada,82,289,42,Community,12
Montana,81,200,110,Equitable,10
Arizona,81,321,150,Community,11
Mississippi,80,52,240,Equitable,11
Louisiana,80,324,180,Community,10
New Mexico,78,137,180,Community,10
Idaho,72,129,62,Community,8
Kentucky,71,148,180,Equitable,13
North Dakota,70,289,180,Equitable,8
Tennessee,70,302,60,Equitable,11
Georgia,69,218,210,Equitable,11
New Hampshire,67,180,0,Equitable,9
District of Columbia,66,80,180,Equitable,7
Michigan,65,150,240,Equitable,9
Indiana,65,157,240,Equitable,10
Minnesota,63,402,180,Equitable,7
Delaware,62,150,180,Equitable,8
Florida,60,409,200,Equitable,9
Massachusetts,58,215,120,Equitable,7
Hawaii,55,175,210,Equitable,8
Oregon,55,260,270,Equitable,10
Illinois,54,337,180,Equitable,8
Oklahoma,53,186,190,Equitable,13
Utah,53,310,180,Equitable,10
Colorado,51,230,180,Equitable,10
Alabama,50,154,210,Equitable,13
Virginia,46,84,180,Equitable,9
Ohio,45,175,210,Equitable,9
California,44,395,360,Community,8
Texas,40,235,240,Community,11
Pennsylvania,40,317,270,Equitable,7
Connecticut,39,225,90,Equitable,8
Wisconsin,37,188,300,Community,7
North Carolina,35,225,360,Equitable,10
Maryland,31,135,360,Equitable,8
West Virginia,31,135,360,Equitable,11
Nebraska,30,157,420,Equitable,9
New York,30,335,360,Equitable,7
Vermont,29,263,450,Equitable,10
South Carolina,27,150,450,Equitable,8
Rhode Island,25,120,510,Equitable,9
New Jersey,23,250,360,Equitable,6
Arkansas,20,165,540,Equitable,13
