"name" "lastname" "firstname" "articleNum" "birthDate" "birthMonth" "birthDay" "zodiac"
"1" "Aaliyah" "Aaliyah" NA 0 1979-01-16 1 16 "Capricorn"
"2" "Aaron, Hank" "Aaron" "Hank" 46 1934-02-05 2 5 "Aquarius"
"3" "Abacha, Sani" "Abacha" "Sani" 2 1943-09-20 9 20 "Virgo"
"4" "Abbado, Claudio" "Abbado" "Claudio" 9 1933-06-26 6 26 "Cancer"
"5" "Abbas, Mahmoud" "Abbas" "Mahmoud" 306 1935-03-26 3 26 "Aries"
"6" "Abdel Rahman, Omar" "Abdel Rahman" "Omar" 21 1938-05-03 5 3 "Taurus"
"7" "Abdul-Jabbar, Kareem" "Abdul-Jabbar" "Kareem" 11 1947-04-16 4 16 "Aries"
"8" "Abdul-Rauf, Mahmoud" "Abdul-Rauf" "Mahmoud" 0 1969-03-09 3 9 "Pisces"
"9" "Abdullah II, King of Jordan" "Abdullah II" "King of Jordan" 1 1962-01-30 1 30 "Aquarius"
"10" "Abdullah, Abdullah" "Abdullah" "Abdullah" 29 1960-01-01 1 1 "Capricorn"
"11" "Abdulmutallab, Umar Farouk" "Abdulmutallab" "Umar Farouk" 52 1986-12-22 12 22 "Capricorn"
"12" "Abizaid, John P" "Abizaid" "John P" 18 1951-04-04 4 4 "Aries"
"13" "Abraham, Spencer" "Abraham" "Spencer" 3 1952-06-12 6 12 "Gemini"
"14" "Abramoff, Jack" "Abramoff" "Jack" 180 1958-02-28 2 28 "Pisces"
"15" "Abrams, Elliott" "Abrams" "Elliott" 1 1948-01-24 1 24 "Aquarius"
"16" "Abrams, Floyd" "Abrams" "Floyd" 7 1936-07-09 7 9 "Cancer"
"17" "Abrams, Robert" "Abrams" "Robert" 2 1938-07-04 7 4 "Cancer"
"18" "Abramson, Jill" "Abramson" "Jill" 19 1954-03-19 3 19 "Pisces"
"19" "Abreu, Bobby" "Abreu" "Bobby" 32 1974-03-11 3 11 "Pisces"
"20" "Abu Marzook, Mousa Mohammed" "Abu Marzook" "Mousa Mohammed" 0 1951-01-09 1 9 "Capricorn"
"21" "Abu-Jamal, Mumia" "Abu-Jamal" "Mumia" 3 1954-04-24 4 24 "Taurus"
"22" "Abubakar, Abdulsalam" "Abubakar" "Abdulsalam" 0 1942-06-13 6 13 "Gemini"
"23" "Accorsi, Ernie" "Accorsi" "Ernie" 19 1941-10-29 10 29 "Scorpio"
"24" "Aciman, Andre" "Aciman" "Andre" 1 1951-01-02 1 2 "Capricorn"
"25" "Ackerman, Bruce" "Ackerman" "Bruce" 3 1943-08-19 8 19 "Leo"
