from,to,country,city,state,price,color,nonstop,time,link,img,lat,lng
"sfo","lasa","United States","Las Vegas","NV","25","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/lasa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=25","https://content.skyscnr.com/00576d2aa3f6283d67e85fa7f26be1ee/las-vegas.jpg?resize=500px:500px&quality=60undefined","36.0839998","-115.1537389",
"sfo","laxa","United States","Los Angeles","CA","29","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/laxa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=29","https://content.skyscnr.com/e0ecf3a478409f5d20108dde7737a1e7/GettyImages-173355218.jpg?resize=500px:500px&quality=60undefined","33.9415889","-118.40853",
"sfo","snaa","United States","Santa Ana","CA","34","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/snaa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=34","https://content.skyscnr.com/40ff84f873842165cf5a45c72b3a1af4/GettyImages-481764406.jpg?resize=500px:500px&quality=60undefined","33.6761901","-117.8674759",
"sfo","lgba","United States","Long Beach","CA","40","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/lgba?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=40","https://content.skyscnr.com/bb4ab7b86fc1f019c465cc49cd8bf5c2/GettyImages-486265823.jpg?resize=500px:500px&quality=60undefined","33.7718319","-118.1671758",
"sfo","pdxa","United States","Portland","OR","41","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/pdxa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=41","https://content.skyscnr.com/58b74af8d609ac229cf93b3abf3c5f7e/GettyImages-139714293.jpg?resize=500px:500px&quality=60undefined","0","0",
"sfo","seaa","United States","Seattle","WA","46","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/seaa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=46","https://content.skyscnr.com/92241bf8f4ebedb68359b1c4c2dea29e/GettyImages-159241343.jpg?resize=500px:500px&quality=60undefined","47.4502499","-122.3088165",
"sfo","slca","United States","Salt Lake City","UT","48","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/slca?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=48","https://content.skyscnr.com/7360bcf60ce6fb10ed07858245c07522/GettyImages-474192330.jpg?resize=500px:500px&quality=60undefined","40.7899404","-111.9790706",
"sfo","sana","United States","San Diego","CA","49","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/sana?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=49","https://content.skyscnr.com/21300f8aa924315ac1c7ffb124b0de4c/GettyImages-176804751.jpg?resize=500px:500px&quality=60undefined","32.8829239","-117.2263985",
"sfo","houa","United States","Houston","TX","53","green","1+ stops (Non-stop available)","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/houa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=53","https://content.skyscnr.com/335d3160c65f5c503c3bda39a636f18f/GettyImages-78051064.jpg?resize=500px:500px&quality=60undefined","29.6863784","-95.3847122",
"sfo","abqa","United States","Albuquerque","NM","54","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/abqa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=54","https://content.skyscnr.com/12de2ac3717cab3632d4e3818a6850d9/GettyImages-477728100.jpg?resize=500px:500px&quality=60undefined","35.0433333","-106.6129085",
