origin,dest,name,lat,lng,IndirectPrice,DirectPrice,anyPrice,kmDist,dollarPerKm
"SFOA","WASA","Washington","38.876333","-77.030055","263","365","365","2435.49","0.15",
"SFOA","HOUA","Houston","29.76328","-95.36327","","133","133","1642.54","0.08",
"SFOA","ORLB","Orlando","28.5399","-81.3692","223","","223","2437.66","0.09",
"SFOA","RDUA","Durham","35.875278","-78.781944","350","551","551","2394.88","0.23",
"SFOA","TPAA","Tampa","27.970898","-82.46464","263","","263","2395.46","0.11",
"SFOA","ABEA","Allentown","40.654722","-75.438333","536","","536","2492.69","0.22",
"SFOA","ABIA","Abilene","32.438055","-99.698194","","","","1332.34","",
"SFOA","ABQA","Albuquerque","35.110703","-106.609991","248","331","331","896.61","0.37",
"SFOA","ABRA","Aberdeen","45.462779","-98.485909","","","","1338.73","",
"SFOA","ABYA","Albany","31.557777","-84.181389","","","","2199.17","",
"SFOA","ACKA","Nantucket","41.256667","-70.059722","827","","827","2758.64","0.30",
"SFOA","ACTA","Waco","31.551389","-97.155833","","","","1493.40","",
"SFOA","AEXA","Alexandria","31.364166","-92.423472","","","","1754.78","",
"SFOA","AGSA","Augusta","33.47097","-81.97484","","","","2273.03","",
"SFOA","ALBA","Albany","42.657697","-73.754654","","","","2553.79","",
"SFOA","ALOA","Waterloo","42.49276","-92.34296","","","","1612.76","",
"SFOA","ALWA","","","","","","","","",
"SFOA","AMAA","Amarillo","35.221944","-101.777638","","","","1157.49","",
"SFOA","ANCA","Anchorage","61.217685","-149.89","412","","412","2003.94","0.21",
"SFOA","APNA","Alpena","45.081667","-83.555833","","","","2054.19","",
"SFOA","ARTA","Watertown","44","-76","","","","2429.48","",
"SFOA","ASEA","Aspen","39.224167","-106.868889","592","","592","845.64","0.70",
"SFOA","ATLA","Atlanta","33.730476","-84.41996","240","","240","2134.12","0.11",
"SFOA","ATWA","Appleton","44.258889","-88.521111","","","","1808.90","",
"SFOA","AUGA","Augusta","44.318056","-69.796667","","","","2731.12","",
"SFOA","AUSA","Austin","30.241666","-97.708333","263","","263","1502.46","0.18",
"SFOA","AVLA","Asheville","35.58","-82.555833","610","","610","2197.33","0.28",
"SFOA","AVPA","Wilkes-Barre","41.244444","-75.878056","","","","2462.63","",
"SFOA","AZOA","Kalamazoo","42.236389","-85.553611","668","","668","1959.51","0.34",
"SFOA","HFDA","Hartford","41.76371","-72.68509","347","","347","2618.51","0.13",
"SFOA","BGMA","Binghamton","42.102222","-75.911667","812","","812","2451.14","0.33",
"SFOA","BGRA","Bangor","44.807778","-68.827778","","","","2772.72","",
"SFOA","BHBA","","","","","","","","",
"SFOA","BHMA","Birmingham","33.52066","-86.80249","474","","474","2008.87","0.24",
"SFOA","BILA","Billings","45.806944","-108.542778","226","","226","902.54","0.25",
"SFOA","BISA","Bismarck","46.80833","-100.78374","","","","1263.44","",
"SFOA","BJIA","Bemidji","47.509722","-94.934722","","","","1539.15","",
"SFOA","BLIA","Bellingham","48.794444","-122.534722","233","","233","761.06","0.31",
"SFOA","BMIA","Bloomington-Normal","40.481944","-88.9275","762","","762","1793.82","0.42",
"SFOA","BNAA","Nashville","36.16589","-86.78444","263","358","358","1958.22","0.18",
"SFOA","BOIA","Boise","43.565278","-116.225","221","","221","514.61","0.43",
"SFOA","BOSA","Boston","42.354444","-71.027361","","316","316","2694.21","0.12",
"SFOA","BPTA","Beaumont","30.041666","-94.05","","","","1704.46","",
"SFOA","SSIA","Brunswick","31.166292","-81.473402","","","","2357.27","",
"SFOA","BRDA","","","","","","","","",
"SFOA","BROA","Brownsville","25.90175","-97.49748","358","","358","1669.40","0.21",
"SFOA","BTMA","Butte","46.006389","-112.529722","593","","593","761.56","0.78",
"SFOA","BTRA","Baton Rouge","30.490833","-91.166944","","","","1847.18","",
"SFOA","BTVA","Burlington","44.477891","-73.214607","493","","493","2562.57","0.19",
"SFOA","BUFA","Buffalo","42.886027","-78.879776","400","","400","2294.14","0.17",
"SFOA","BURA","Burbank","34.2","-118.357778","","111","111","335.64","0.33",
"SFOA","BZNA","Bozeman","45.677778","-111.047222","297","","297","799.55","0.37",
"SFOA","CAEA","Columbia","34.00071","-81.03481","","","","2312.22","",
"SFOA","AKRB","Akron","41.081788","-81.507453","382","","382","2175.08","0.18",
"SFOA","CDCA","Cedar City","37.7025","-113.096111","457","","457","509.19","0.90",
"SFOA","CECA","Crescent City","41.78","-124.235833","","","","292.73","",
"SFOA","CHAA","Chattanooga","35.045556","-85.267222","509","","509","2060.77","0.25",
"SFOA","CHOA","Charlottesville","38.0299","-78.479","404","","404","2372.51","0.17",
"SFOA","CHSA","Charleston","32.77657","-79.93092","382","","382","2400.56","0.16",
"SFOA","CIDA","Cedar Rapids","41.983056","-91.668611","","","","1646.84","",
"SFOA","SSMA","Sault Ste Marie","46.5","-84.35","","","","2019.23","",
"SFOA","CLEA","Cleveland","41.493796","-81.671759","","147","147","2163.03","0.07",
"SFOA","CLLA","College Station","30.589444","-96.364444","","","","1563.67","",
"SFOA","CLTA","Charlotte","35.217917","-80.892916","","402","402","2294.23","0.18",
"SFOA","CMHA","Columbus","39.964907","-83.002222","264","","264","2108.36","0.13",
"SFOA","CMIA","Champaign","40.112981","-88.261227","452","","452","1831.22","0.25",
"SFOA","CMXA","Hancock","47.12687","-88.58096","","","","1824.68","",
"SFOA","CODA","Cody / Yellowstone","44.515833","-109.0275","305","","305","836.20","0.36",
"SFOA","COSA","Colorado Springs","38.825185","-104.741944","","","","959.65","",
"SFOA","COUA","Columbia","38.964748","-92.324982","","","","1624.74","",
"SFOA","CPRA","Casper","42.834722","-106.325","","","","915.19","",
"SFOA","CRPA","Corpus Christi","27.751388","-97.380208","434","","434","1604.37","0.27",
"SFOA","CRWA","Charleston","38.353234","-81.635628","757","","757","2200.40","0.34",
"SFOA","CSGA","Columbus","32.483333","-84.991666","458","","458","2131.77","0.21",
"SFOA","CVGA","Cincinnati","39.133333","-84.5","","148","148","2038.71","0.07",
"SFOA","AUWA","Wausau","44.95","-89.633333","","","","1757.32","",
"SFOA","CYSA","Cheyenne","41.144583","-104.816667","","","","965.44","",
"SFOA","DABA","Daytona Beach","29.210912","-81.02829","311","","311","2436.24","0.13",
"SFOA","DFWA","Dallas","32.78306","-96.80667","","168","168","1480.15","0.11",
"SFOA","DAYA","Dayton","39.75895","-84.19161","324","","324","2048.15","0.16",
"SFOA","DBQA","","","","","","","","",
"SFOA","DENA","Denver","39.739167","-104.984722","","100","100","947.45","0.11",
"SFOA","DHNA","Dothan","31.22323","-85.39049","744","","744","2141.88","0.35",
"SFOA","DIKA","Dickinson","46.87918","-102.78962","","","","1178.42","",
"SFOA","DLHA","Duluth","46.812916","-92.145139","713","","713","1655.41","0.43",
"SFOA","DROA","Durango","37.275278","-107.88","","","","796.60","",
"SFOA","DSMA","Des Moines","41.533889","-93.656667","263","","263","1544.38","0.17",
"SFOA","DTTA","Detroit","42.331389","-83.045833","260","385","385","2086.89","0.18",
"SFOA","DVLA","","","","","","","","",
"SFOA","EATA","","","","335","","335","","",
"SFOA","EAUA","Eau Claire","44.864444","-91.487222","","","","1666.46","",
"SFOA","PFNA","Panama City","30.189583","-85.682638","418","","418","2154.14","0.19",
"SFOA","EGEA","Vail","39.64026","-106.3742","651","","651","873.32","0.75",
"SFOA","EKOA","Elko","40.823889","-115.789722","","","","411.98","",
"SFOA","ELMA","Elmira","42.085278","-76.809167","1373","","1373","2405.83","0.57",
"SFOA","ELPA","El Paso","31.775555","-106.440972","294","","294","995.32","0.30",
"SFOA","ERIA","Erie","42.08","-80.178611","513","","513","2234.62","0.23",
"SFOA","ESCA","","","","","","","","",
"SFOA","EUGA","Eugene","44.05207","-123.08675","","253","253","434.78","0.58",
"SFOA","EVVA","Evansville","37.97476","-87.55585","","","","1890.02","",
"SFOA","EWNA","New Bern","35.112326","-77.045403","","","","2503.77","",
"SFOA","NYCA","New York","40.730926","-73.972037","259","293","293","2566.95","0.11",
"SFOA","EYWA","Key West","24.553055","-81.779861","","","","2546.74","",
"SFOA","FAIA","Fairbanks","64.835666","-147.772","430","","430","2133.91","0.20",
"SFOA","FARA","Fargo","46.87719","-96.7898","","","","1443.34","",
"SFOA","FATA","Fresno","36.752222","-119.748472","294","303","303","163.09","1.86",
"SFOA","FAYA","Fayetteville","35.05266","-78.87836","419","","419","2406.33","0.17",
"SFOA","FCAA","Kalispell","48.197778","-114.316111","","","","827.06","",
"SFOA","GCNA","Grand Canyon","36.053333","-112.139444","","","","579.90","",
"SFOA","MIAA","Miami","25.77427","-80.19366","268","285","285","2590.34","0.11",
"SFOA","FLOA","Florence","34.188889","-79.724444","724","","724","2379.12","0.30",
"SFOA","FMNA","Farmington","36.741111","-108.229167","","","","782.82","",
"SFOA","FNTA","Flint","43.01","-83.69","473","","473","2051.02","0.23",
"SFOA","FSDA","Sioux Falls","43.553276","-96.70063","326","","326","1399.18","0.23",
"SFOA","FSMA","Fort Smith","35.336111","-94.37","","","","1559.90","",
"SFOA","FWAA","Fort Wayne","41.08045","-85.13915","","","","1987.26","",
"SFOA","GCCA","","","","","","","","",
