airline,country,status
AB Airlines,United Kingdom,Inactive
Aba Air,Czech Republic,Active
ABC Air Hungary,Hungary,Active
Abelag Airways,Belgium,Inactive
ABSA Cargo,Brazil,Active
Abu Dhabi Aviation,United Arab Emirates,Active
Abu Dhabi Gvmt,United Arab Emirates,Inactive
ABX Air,USA,Active
Accessair,USA,Inactive
ACE Air Charters,Netherlands,Inactive
ACES Colombia,Colombia,Inactive
Acropolis Aviation,United Kingdom,Active
ACT Airlines,Turkey,Active
Acvila Air,Romania,Inactive
Ada Air,Albania,Inactive
AdamAir,Indonesia,Inactive
ADC Airlines,Nigeria,Inactive
Adorna Airways,Malaysia,Inactive
Adria Airways,Slovenia,Active
AeBal - Aerolineas Baleares,Spain,Inactive
Aegean Airlines,Greece,Active
Aegean Aviation,Greece,Inactive
Aegean Cronus Airlines,Greece,Inactive
Aeolian Airlines,Greece,Inactive
Aeolus Air,Gambia,Inactive
Aer Arann,Ireland,Active
Aer Lingus,Ireland,Active
Aer Lucht,Ireland,Inactive
Aer Turas,Ireland,Inactive
Aereo Calafia,Mexico,Active
Aeris,France,Inactive
Aero Africa,Swaziland,Active
Aero Airlines,Estonia,Inactive
Aero Amigo,Mexico,Inactive
Aero Asia,Pakistan,Inactive
Aero Bee Airlines,Canada,Inactive
Aero Caribbean,Cuba,Active
Aero Chile,Chile,Inactive
Aero Continente,Peru,Inactive
Aero Continente Chile,Chile,Inactive
Aegean Airlines,Greece,Active
Aegean Aviation,Greece,Inactive
Aegean Cronus Airlines,Greece,Inactive
Aeolian Airlines,Greece,Inactive
Aeolus Air,Gambia,Inactive
Aer Arann,Ireland,Active
Aer Lingus,Ireland,Active
Aer Lucht,Ireland,Inactive
Aer Turas,Ireland,Inactive
Aereo Calafia,Mexico,Active
Aeris,France,Inactive
Aero Africa,Swaziland,Active
Aero Airlines,Estonia,Inactive
Aero Amigo,Mexico,Inactive
Aero Asia,Pakistan,Inactive
Aero Bee Airlines,Canada,Inactive
Aero Caribbean,Cuba,Active
Aero Chile,Chile,Inactive
Aero Continente,Peru,Inactive
Aero Continente Chile,Chile,Inactive
Aero Controls,USA,Inactive
Aero Costa Rica,Costa Rica,Inactive
Aero Feliz,Mexico,Inactive
Aero Flight,Germany,Inactive
Aero Lloyd,Germany,Inactive
Aero Malaysiana,Malaysia,Inactive
Aero Mongolia,Mongolia,Active
Aero Peru,Peru,Inactive
Aero Quetzal,Guatemala,Inactive
Aero Republica Colombia,Colombia,Inactive
Aero Santa,Peru,Inactive
Aero Services,Congo,Inactive
Aero Services Corporate,France,Inactive
Aero Transporte,Peru,Active
Aero Tropical,Mexico,Inactive
Aero Zambia,Zambia,Inactive
AerOasis,Colombia,Inactive
Aerocancun,Mexico,Inactive
AeroChaco,Argentina,Inactive
Aerocondor,Peru,Inactive
Aero Controls,USA,Inactive
Aero Costa Rica,Costa Rica,Inactive
Aero Feliz,Mexico,Inactive
Aero Flight,Germany,Inactive
Aero Lloyd,Germany,Inactive
