"BLS Category Number","BLS Category Title"
17,"Architecture and Engineering"
27,"Arts, Design, Entertainment, Sports, and Media"
37,"Building and Grounds Cleaning and Maintenance"
13,"Business and Financial Operations"
21,"Community and Social Services"
15,"Computer and Mathematical"
47,"Construction and Extraction"
25,"Education, Training, and Library"
35,"Food Preparation and Serving Related"
29,"Healthcare Practitioners and Technical"
31,"Healthcare Support"
49,"Installation, Maintenance, and Repair"
23,"Legal"
19,"Life, Physical, and Social Science"
11,"Management"
43,""Office and Administrative Support"
39,"Personal Care and Service"
51,"Production"
33,"Protective Service"
41,"Sales and Related"
53,"Transportation and Material Moving"
