BLS codes,Occupation Name,Probability of Computerisation,Assisting and caring for others,Negotiation,Originality,Cramped work space
41-9041_,Telemarketers,0.99024,22,37,34,6
13-2082_,Tax Preparers,0.98712,22,34,34,15
51-2093_,Timing Device Assemblers and Adjusters,0.98493,20,13,32,19
13-2072_,Loan Officers,0.98362,33,45,30,0
27-2023_,Umpires and Referees,0.98285,26,41,36,13
43-3071_,Tellers,0.98276,32,30,30,6
51-9111_,Packaging and Filling Machine Operators and Tenders,0.98037,32,30,32,17
43-3061_,Procurement Clerks,0.97951,29,55,29,11
51-4035_,Milling and Planing Machine Setters Operators and Tenders Metal and Plastic,0.97852,28,21,32,24
13-2041_,Credit Analysts,0.97851,23,45,39,0
53-3031_,Driver/Sales Workers,0.9777,33,41,32,19
43-6012_,Legal Secretaries,0.97645,37,29,34,10
43-3031_,Bookkeepers,0.97607,36,36,30,11
41-9012_,Fashion Models,0.97564,0,27,32,12
41-2011_,Cashiers,0.97052,32,29,29,20
51-9022_,Grinding and Polishing Workers Hand,0.96964,40,29,32,14
35-2014_,Restaurant Cooks,0.96328,35,30,36,18
51-9071_,Jewelers and Precious Stone and Metal Workers,0.95461,19.6667,33.3333,41,6
43-5051_,Postal Service Clerks,0.95405,31,27,27,22
51-2022_,Electrical and Electronic Equipment Assemblers,0.95142,29,36,32,41
43-3011_,Bill and Account Collectors,0.94669,33,48,39,9
39-5092_,Manicurists and Pedicurists,0.94543,48,30,32,11
23-2011_,Paralegals and Legal Assistants,0.94457,29,36,39,18
13-2031_,Budget Analysts,0.93784,28,37,41,1
35-3031_,Waiters and Waitresses,0.93714,36,29,27,26
13-2011_,Accountants and Auditors,0.93506,24,43.5,41,10.5
53-7081_,Garbage Collectors,0.93384,35,30,29,38
51-3021_,Butchers and Meat Cutters,0.93325,40,43,30,34
51-9193_,Cooling and Freezing Equipment Operators,0.92582,29,27,32,50
41-2031_,Retail Salespersons,0.92314,38,50,39,8
51-7011_,Cabinetmakers and Bench Carpenters,0.92046,21,29,38,42
41-3021_,Insurance Sales Agents,0.91901,39,50,39,7
39-7011_,Tour Guides and Escorts,0.90602,44,23,36,24
47-2181_,Roofers,0.89738,28,27,34,56
53-3041_,Taxi Drivers and Chauffeurs,0.89401,55,32,32,14
47-4061_,Rail-Track Laying and Maintenance Equipment Operators,0.89098,44,30,32,41
27-3042_,Technical Writers,0.88834,24,34,43,1
53-3022_,Bus Driver,0.8883,48,32,29,32
51-3011_,Bakers,0.88775,43,25,38,17
17-1021_,Cartographers and Photogrammetrists,0.8794,20,37,43,11
47-4051_,Highway Maintenance Workers,0.87427,39,32,32,52
53-6021_,Parking Lot Attendants,0.87412,55,37,32,21
43-4021_,Correspondence Clerks,0.86488,38,39,39,25
41-9022_,Real Estate Sales Agents,0.86435,51,57,37,10
53-4041_,Subway and Streetcar Operators,0.86265,48,32,27,31
51-4023_,Rolling Machine Setters Operators and Tenders Metal and Plastic,0.83454,40,27,32,58
35-2012_,Cafeteria Cooks,0.82703,47,30,37,29
47-2021_,Brickmasons and Blockmasons,0.82415,37,25,34,60
43-6013_,Medical Secretaries,0.81463,65,32,30,5
17-3012_,Electrical and Electronics Drafters,0.80759,25,31.5,44,4.5
39-5011_,Barbers,0.79731,50,27,39,9
49-3052_,Motorcycle Mechanics,0.79185,43,34,38,36
53-3032_,Heavy and Tractor-Trailer Truck Drivers,0.7863,37,27,29,68
35-3011_,Bartenders,0.7682,42,39,41,13
25-4011_,Archivists,0.75885,29,37,43,19
39-9021_,Personal Care Aides,0.73599,63,29,27,24
47-2031_,Carpenters,0.72398,42.5,34.5,36,58.5
49-9031_,Home Appliance Repairers,0.72249,44,29,30,70
49-3011_,Aircraft Mechanics and Service Technicians,0.70552,37,34,38,58
37-2012_,Maids and Housekeeping Cleaners,0.68793,44,23,21,24
43-5052_,Mail Carriers,0.67514,29,23,20,38
53-3021_,City Bus Drivers,0.66896,63,27,27,38
37-2011_,Janitors and Custodians,0.66288,30,21,20,40
25-4021_,Librarians,0.64945,37,46,43,17
51-4041_,Machinists,0.64631,25,30,45,16
47-4011_,Construction and Building Inspectors,0.63316,27,39,41,59
53-5022_,Motorboat Operators,0.61563,57,34,36,44
13-1161_,Market Research Analysts,0.61294,26,39,46,3
51-3023_,Meat Packers,0.60326,35,21,18,16
47-5042_,Mine Cutting and Channeling Machine Operators,0.59084,49,30,30,81
25-9041_,Teaching Assistants,0.55672,57,34,41,3
53-2012_,Commercial Pilots,0.54637,36,39,41,54
41-3011_,Advertising Sales Agents,0.5418,31,55,46,1
31-9011_,Massage Therapists,0.54141,69,32,37,16
39-4011_,Embalmers,0.53569,71,36,36,20
