Liquid,PoundsPerGallon
Acetone,6.6
"Acid, Muriatic",10
"Acid, Nitric",10.58
"Acid, Sulphuric",15.42
"Alcohol, Commerce",6.74
"Alcohol, Proof Spirit. ",7.9375
Ale ,8.33
Aluminum Sulfate – 50% Liquid,11
Ammonia Anhydrous,5
Ammonium Hydroxide – 29% Liquid,7.48
Antifreeze (Automotive),9.4
Aviation Fuel,6.01
Beer,8.3
Calcium Chloride – 38% Liquid,11.67
Diesel,6.943
Diethanolamine 85%,8.96
Diethanolamine 99%,9.05
Diethylene Glycol,9.29
Diisopropanolamine 99%,8.33
Ethylene Glycol -  Antifreeze Grade,9.28
Ethylene Glycol -  Industrial Grade,9.26
Gasoline,6.3
Hydrazine 35%,8.52
Hydrogen Peroxide 35%,9.45
Hydrogen Peroxide 50%,9.98
Isopropyl Alcohol,6.54
Methyl Alcohol,6.63
Methyl Ethyl Ketone,6.71
Methyldiethanolamine 99%,8.67
Methylene Chloride,11.07
Monoethanolamine 85%,8.45
Monoethanolamine 99%,8.48
Muriatic Acid 20º,9.67
Muriatic Acid 22º,9.83
Naphtha,7.08
Naphtha 140,6.53
Oil of Turpentine,7.25
"Oil, Linseed",7.75
"Oil, Whale",7.25
Petroleum,7.35
Potassium Carbonate,12.47
Potassium Hydroxide – 45% Liquid,12.1
Propylene,8.62
Sodium Hydroxide – 25% Liquid,10.69
Sodium Hydroxide – 50% Liiquid,12.76
Sodium Hypochlorite 10 – 12%,10
Sulfuric Acid 20%,9.59
Sulfuric Acid 93%,15.303
Sulfuric Acid 98%,15.373
Tar,8.43
Tetraethylene Glycol,9.34
Toluene,7.255
Trichlorethylene,12.11
Triethanolamine 85%,9.33
Triethanolamine 99%,9.35
Triethylene Glycol,9.34
Urine - Pee,8.345
Vinegar,8.43
Water - Distilled,8.33
Water - SaltWater,8.59
Xylene,7.238
