artist,hotness
Taylor Swift,0.997374
Ed Sheeran,0.993931
Calvin Harris,0.991842
Maroon 5 feat. Christina Aguilera,0.987806
Maroon 5,0.987806
David Guetta,0.986187
Sia,0.98389
Rihanna,0.983005
Ellie Goulding,0.979452
Ariana Grande,0.975829
Avicii,0.97348
Wiz Khalifa,0.972331
Hozier,0.965075
The Weeknd,0.959662
Pitbull,0.958339
Mark Ronson,0.951966
Imagine Dragons,0.951585
Major Lazer,0.948709
Zedd,0.947754
Flo Rida,0.9427
Kelly Clarkson,0.941505
One Direction,0.940583
Coldplay,0.939749
Jason Derülo,0.939649
Carly Rae Jepsen,0.937838
John Legend,0.937575
Martin Garrix,0.936819
Madonna,0.935151
Jessie J,0.933259
Kendrick Lamar,0.933118
Mumford & Sons,0.932245
Skrillex,0.929063
Alesso,0.927082
Iggy Azalea,0.926377
Charli XCX,0.926298
Chris Brown,0.921617
OneRepublic,0.921076
Olly Murs,0.920517
Enrique Iglesias,0.918108
Florence + the Machine,0.918067
Drake,0.91756
Nicki Minaj,0.916412
Pharrell Williams,0.915439
The Script,0.913892
Muse,0.913592
Beyoncé,0.913154
Vance Joy,0.911585
Alabama Shakes,0.910271
Katy Perry,0.909649
Kanye West,0.90883
Walk the Moon,0.906836
Adele,0.905198
Fall Out Boy,0.904807
Nicky Jam,0.903529
Deorro,0.899655
Fifth Harmony,0.898942
Eminem,0.898801
Tiësto,0.898118
Bruno Mars,0.898038
Sufjan Stevens,0.896988
Big Sean,0.896284
Tyler  the Creator,0.893808
Klingande,0.893258
Lana Del Rey,0.890716
Dillon Francis,0.888044
Milky Chance,0.887608
Arctic Monkeys,0.885669
Diplo,0.884689
Selena Gomez,0.884523
Usher,0.88408
Lorde,0.882238
Martin Solveig,0.881815
Daft Punk,0.880478
Hardwell,0.880076
The Prodigy,0.879622
Death Cab for Cutie,0.876752
Blur,0.876518
P!nk,0.874335
Maná,0.873797
Madeon,0.873579
Passenger,0.873367
Queen,0.873019
Ricky Martin,0.872522
Zac Brown Band,0.871771
J Balvin,0.871436
Disclosure,0.871054
The Notorious B.I.G.,0.870316
Avril Lavigne,0.869797
Hoodie Allen,0.869796
Steve Aoki,0.869515
Nickelback,0.869136
Lady Gaga,0.869054
Jennifer Lopez,0.868799
Kodaline,0.868458
Nightwish,0.867847
U2,0.866243
Armin van Buuren,0.865644
alt-J,0.865166
Passion Pit,0.863125
Linkin Park,0.863098
Of Monsters and Men,0.862753
Shakira,0.862536
AWOLNATION,0.862107
Alejandro Sanz,0.861659
Demi Lovato,0.861651
Miss A,0.861448
Jason Mraz,0.860781
Foo Fighters,0.86038
AC/DC,0.860153
Stromae,0.859748
Chet Faker,0.859582
DJ Fresh,0.859386
Fergie,0.859224
Carrie Underwood,0.858676
Luke Bryan,0.858606
James Newton Howard,0.857752
Blake Shelton,0.857723
Tame Impala,0.857516
Modest Mouse,0.857389
Mika,0.857273
Marina & the Diamonds,0.855542
Lenny Kravitz,0.855282
Metallica,0.855102
Snoop Dogg,0.853936
Justin Timberlake,0.853796
Led Zeppelin,0.853158
Ne-Yo,0.853009
Three Days Grace,0.852803
Marco Mengoni,0.852713
Radiohead,0.852013
Jessie Ware,0.851278
Keith Urban,0.850027
Nirvana,0.849709
Christina Perri,0.849543
Plan B,0.84909
Trey Songz,0.848992
Lykke Li,0.848404
Tiziano Ferro,0.84826
James Blunt,0.848189
Yelawolf,0.847665
Action Bronson,0.847016
소녀시대,0.846976
Fedez,0.846526
Ludacris,0.846348
Florida Georgia Line,0.84629
Bastille,0.845993
Daddy Yankee,0.845823
Jeremih,0.845793
Fleetwood Mac,0.845234
J. Cole,0.844528
Gwen Stefani,0.84449
Wale,0.844283
Jovanotti,0.844258
Skylar Grey,0.843848
Paul McCartney,0.842902
Capital Cities,0.842657
The xx,0.84262
Mark Knopfler,0.842058
Pink Floyd,0.841832
Lady Antebellum,0.841692
John Newman,0.841426
Inna,0.840992
DVBBS,0.840738
Loreen,0.840515
The Black Keys,0.839873
Childish Gambino,0.839584
Miranda Lambert,0.839382
Juanes,0.839358
Eagles,0.838141
Booba,0.837596
Henrique & Juliano,0.837222
Tom Odell,0.836865
Michael Jackson,0.836779
Tim McGraw,0.836443
Kenny Chesney,0.836213
The Rolling Stones,0.836191
Deichkind,0.835561
Ciara,0.835495
Miley Cyrus,0.835418
Alicia Keys,0.835001
The Wombats,0.834159
Labrinth,0.834036
Justin Bieber,0.834029
Calogero,0.833778
Afrojack,0.833634
Darius Rucker,0.833519
Guns N' Roses,0.833231
Marc Anthony,0.832808
Foster the People,0.832269
Take That,0.832239
Red Hot Chili Peppers,0.831635
