number,full_name,position,height_in_inches,weight_in_lbs,date_of_birth,team
23,"Alford, Robert",CB,70,186,11/1/1988,ATL
95,"Babineaux, Jonathan",DT,74,300,10/12/1981,ATL
72,"Baker, Sam",T,77,301,5/30/1985,ATL
59,"Bartu, Joplo",OLB,74,230,10/3/1990,ATL
71,"Biermann, Kroy",OLB,75,255,9/12/1985,ATL
63,"Blalock, Justin",G,76,326,12/20/1983,ATL
5,"Bosher, Matt",P,72,208,10/18/1987,ATL
3,"Bryant, Matt",K,69,203,5/29/1975,ATL
51,"Chaney, Jamar",LB,72,242,10/11/1986,ATL
86,"Coffman, Chase",TE,78,250,11/10/1986,ATL
15,"Cone, Kevin",WR,74,216,3/20/1988,ATL
4,"Davis, Dominique",QB,75,210,7/17/1989,ATL
19,"Davis, Drew",WR,73,205,1/4/1989,ATL
28,"DeCoud, Thomas",FS,74,192,3/19/1985,ATL
52,"Dent, Akeem",MLB,73,239,9/27/1987,ATL
42,"DiMarco, Patrick",FB,73,234,4/30/1989,ATL
83,"Douglas, Harry",WR,72,183,9/16/1984,ATL
34,"Ewing, Bradie",FB,71,243,12/26/1989,ATL
24,"Franks, Dominique",DB,72,197,10/8/1987,ATL
53,"Gaither, Omar",MLB,74,235,3/18/1984,ATL
88,"Gonzalez, Tony",TE,77,247,2/27/1976,ATL
93,"Goodman, Malliciah",DE,76,276,1/4/1990,ATL
69,"Gunn, Harland",G,74,310,8/30/1989,ATL
47,"Harris, Josh",LS,73,224,4/27/1989,ATL
61,"Hawley, Joe",G,75,302,10/22/1988,ATL
76,"Holmes, Lamar",T,78,333,7/8/1989,ATL
36,"Ishmael, Kemal",DB,72,206,5/6/1991,ATL
39,"Jackson, Steven",RB,74,240,7/22/1983,ATL
94,"Jerry, Peria",DT,74,295,8/23/1984,ATL
79,"Johnson, Mike",G,78,304,4/2/1987,ATL
11,"Jones, Julio",WR,75,220,2/3/1989,ATL
66,"Konz, Peter",C,77,317,12/20/1989,ATL
90,"Maponga, Stansly",DE,74,265,3/5/1991,ATL
96,"Massaquoi, Jonathan",DE,74,264,5/18/1988,ATL
98,"Matthews, Cliff",DE,76,268,8/5/1989,ATL
27,"McClain, Robert",CB,69,195,7/22/1988,ATL
25,"Moore, William",SS,72,221,5/18/1985,ATL
41,"Motta, Zeke",SS,74,215,5/14/1990,ATL
54,"Nicholas, Stephen",OLB,75,236,5/1/1983,ATL
86,"Nissley, Adam",TE,78,267,5/6/1988,ATL
91,"Peters, Corey",DT,75,305,6/8/1988,ATL
12,"Renfree, Sean",QB,77,225,4/28/1990,ATL
75,"Reynolds, Garrett",G,79,310,7/1/1987,ATL
92,"Robertson, Travian",NT,76,304,12/9/1988,ATL
32,"Rodgers, Jacquizz",RB,66,196,2/6/1990,ATL
2,"Ryan, Matt",QB,76,217,5/17/1985,ATL
22,"Samuel, Asante",CB,70,185,1/6/1981,ATL
29,"Schillinger, Shann",DB,72,200,5/22/1986,ATL
73,"Schraeder, Ryan",T,79,307,5/17/1987,ATL
35,"Smith, Antone",RB,69,192,9/17/1985,ATL
44,"Snelling, Jason",FB,71,234,12/29/1983,ATL
85,"Szczerba, Andrew",TE,78,256,7/16/1988,ATL
80,"Toilolo, Levine",TE,80,265,7/30/1991,ATL
65,"Trueblood, Jeremy",T,80,320,5/10/1983,ATL
21,"Trufant, Desmond",CB,72,190,9/10/1990,ATL
50,"Umenyiora, Osi",DE,75,255,11/16/1981,ATL
30,"Vaughan, Josh",RB,72,225,12/3/1986,ATL
56,"Weatherspoon, Sean",OLB,74,244,12/29/1987,ATL
84,"White, Roddy",WR,72,211,11/2/1981,ATL
55,"Worrilow, Paul",OLB,72,230,5/1/1990,ATL
50,"Alonso, Kiko",MLB,75,238,8/14/1990,BUF
53,"Bradham, Nigel",OLB,74,241,9/4/1989,BUF
90,"Branch, Alan",DE,78,325,12/29/1984,BUF
33,"Brooks, Ron",CB,70,190,10/16/1988,BUF
74,"Brown, Colin",G,79,326,8/29/1985,BUF
97,"Bryant, Corbin",DT,76,300,1/4/1988,BUF
29,"Burton, Brandon",DB,72,185,7/31/1989,BUF
31,"Byrd, Jairus",FS,70,203,10/7/1986,BUF
4,"Carpenter, Dan",K,74,228,11/25/1985,BUF
92,"Carrington, Alex",DE,77,301,6/19/1987,BUF
80,"Caussin, Mike",TE,77,243,2/26/1987,BUF
84,"Chandler, Scott",TE,79,260,7/23/1985,BUF
20,"Choice, Tashard",RB,70,210,11/20/1984,BUF
99,"Dareus, Marcell",DT,75,331,3/13/1990,BUF
81,"Easley, Marcus",WR,74,217,11/2/1987,BUF
