nomadscore,cost,internet,fun,safety,city,country,monthlyText,dollarsPerMonth,rank,airbnbRatio,estimatedRent,lat,lng
"39.4302","80","80","56.3636","67.0476","Krabi","Thailand","$971%uFFFD/%uFFFDm","971","725","36061","26.9722222222","8.0862997","98.9062835",
"30.6938","30","40","80","63.3864","Thrissur","India","$5,259%uFFFD/%uFFFDm","5259","849","89","59.0898876404","10.5276416","76.2144349",
"14.5132","40","60","80","62.119","Bhopal","India","$3,034%uFFFD/%uFFFDm","3034","929","63","48.1587301587","23.2599333","77.412615",
"33.0084","40","40","60","66.725","Kalyan","India","$3,151%uFFFD/%uFFFDm","3151","824","46","68.5","19.2403305","73.1305395",
"45.1114","20","80","43.6364","42.0435","Samara","Russia","$3,572%uFFFD/%uFFFDm","3572","635","37","96.5405405405","53.2415041","50.2212463",
"53.2371","40","80","46.6667","44.4091","Kaliningrad","Russia","$3,241%uFFFD/%uFFFDm","3241","464","36","90.0277777778","54.7104264","20.4522144",
"31.1732","50","40","40","86.575","Shaoxing","China","$2,550%uFFFD/%uFFFDm","2550","845","34","75","29.995762","120.586109",
"24.816","30","80","45.4545","44.619","Nizhny","Russia","$4,509%uFFFD/%uFFFDm","4509","882","26","173.4230769231","56.2965039","43.936059",
"27.1593","70","40","23.6364","42.8095","Bahawalpur","Pakistan","$1,122%uFFFD/%uFFFDm","1122","874","24","46.75","29.35435","71.691066",
"21.9108","30","40","30.7692","41.2917","Baghdad","Iraq","$7,467%uFFFD/%uFFFDm","7467","892","24","311.125","33.3128057","44.3614875",
"43.7509","30","60","80","88.15","Santorini","Greece","$5,284%uFFFD/%uFFFDm","5284","666","23","229.7391304348","36.3931562","25.4615092",
"33.4599","70","40","60","61.725","Rajkot","India","$1,139%uFFFD/%uFFFDm","1139","822","22","51.7727272727","22.3038945","70.8021599",
"57.4413","70","60","80","71.1667","Amritsar","India","$1,004%uFFFD/%uFFFDm","1004","386","20","50.2","31.6339793","74.8722642",
"35.2539","70","40","60","62.5952","Kannur","India","$1,241%uFFFD/%uFFFDm","1241","802","19","65.3157894737","11.8744775","75.3703662",
