jobtitle,dems,reps,percent_dem,percent_rep
Fossil Fuels,203,1582,11.37,88.63
Orthodontist,208,564,26.94,73.06
Farming & Forestry,4733,12384,27.65,72.35
Surgical Practice,1389,3084,31.05,68.95
Insurance,3697,7259,33.74,66.26
Endodontist,55,107,33.95,66.05
Construction,3110,5747,35.11,64.89
Dentistry,3742,6331,37.15,62.85
Dentist,3214,5313,37.69,62.31
Dental Assistant,17,28,37.78,62.22
Home Management,43834,69552,38.66,61.34
Transportation,619,952,39.4,60.6
Entrepreneurial,27122,41661,39.43,60.57
Sales,8837,13498,39.57,60.43
Military,428,629,40.49,59.51
Banking/Lending,4368,6398,40.57,59.43
Dental Hygienist,91,129,41.36,58.64
Wholesaling,281,375,42.84,57.16
Aviation,1165,1530,43.23,56.77
Pediatric Dentist,77,96,44.51,55.49
Accounting,9507,11821,44.58,55.42
Financial Services,10010,12297,44.87,55.13
Business Leadership,89890,108061,45.41,54.59
Periodontist,80,94,45.98,54.02
Investment Banking,10744,12315,46.59,53.41
Real Estate,14238,16224,46.74,53.26
Animal Care,963,1023,48.49,51.51
Law Enforcement,741,783,48.62,51.38
Hospitality,443,460,49.06,50.94
Skilled Trade,1893,1751,51.95,48.05
Physicians,44257,39333,52.95,47.05
Restaurant & Bar,1534,1346,53.26,46.74
Support Staff,7043,5887,54.47,45.53
Labor,489,359,57.67,42.33
Business Operations,5664,4062,58.24,41.76
Retail Trade,1697,1193,58.72,41.28
Garden & Landscape,649,428,60.26,39.74
Medical Services,12472,7858,61.35,38.65
Personal Services,3117,1960,61.39,38.61
Sports & Games,210,127,62.31,37.69
Religion,2093,1155,64.44,35.56
Civil Service,837,404,67.45,32.55
Public Relations,6178,2865,68.32,31.68
Foodservice,660,289,69.55,30.45
Engineering,10045,4071,71.16,28.84
Publishing,1354,508,72.72,27.28
Legal,122431,44520,73.33,26.67
IT,5114,1815,73.81,26.19
Planning & Arch.,5214,1739,74.99,25.01
Science & Math,6534,1891,77.55,22.45
Teaching,16260,4375,78.8,21.2
Fundraising & Philan.,760,189,80.08,19.92
Fitness,438,107,80.37,19.63
Social Science,1686,409,80.48,19.52
Academic Admin.,2494,517,82.83,17.17
Media Production,689,138,83.31,16.69
Visual Arts,7802,1473,84.12,15.88
Research,3061,519,85.5,14.5
Performing Arts,3672,538,87.22,12.78
Writing,9953,1370,87.9,12.1
Art Management,1379,166,89.26,10.74
Academia,22231,2491,89.92,10.08
Mental Health,7095,745,90.5,9.5
Libraries,1729,164,91.34,8.66
Editorial,1890,169,91.79,8.21
Film & Stage Prod.,2753,223,92.51,7.49
Social & Environment,3834,283,93.13,6.87
