country,CasualNotIssue,CasualAcceptable,CasualUnacceptable,PenisCM
Argentina,27,45,22,14.88
Australia,47,34,15,13.31
Bolivia,11,22,53,
Brazil,14,47,35,16.1
Britain,44,38,13,13.97
Canada,47,34,15,13.92
Chile,26,54,13,
China,17,12,58,
Czech Republic,18,67,10,
Egypt,6,2,90,
El Salvador,14,22,56,
France,47,47,6,
Germany,34,57,6,
Ghana,4,6,86,
Greece,27,59,11,
India,11,10,67,
Indonesia,1,1,97,
Israel,22,36,37,
Italy,41,42,11,
Japan,26,47,21,
Jordan,3,1,95,
Kenya,13,4,79,
Lebanon,8,5,81,
Malaysia,5,3,87,
Mexico,21,26,44,
Nigeria,13,3,77,
Pakistan,2,0,94,
Palestinian ter.,4,1,94,
Philippines,7,20,71,
Poland,21,44,22,
Russia,10,40,30,
Senegal,26,6,63,
South Africa,17,21,48,
South Korea,29,27,35,
Spain,39,52,8,
Tunisia,3,4,89,
Turkey,2,5,91,
Uganda,9,9,77,
United States,36,29,30,
Venezuela,13,61,21,
