rank,name,networthtext,networth,nationality,company,whattheydo,title,
1,Bill Gates,$86 Billion,86000000000,American,microsoft,tech conglomerate,Tech Founder of Microsoft,
2,Amancio Ortega Gaona,$71 Billion,71000000000,Spanish,inditex,fashion,"founding chairman of the Inditex fashion group, best known for its chain of Zara clothing and accessories retail shops",
3,Warren Buffett,$70.2 Billion,70200000000,American,berkshire hathaway,investing,"business magnate, investor and philanthropist",
4,Vladimir Putin,$70 Billion,70000000000,Russian,,,politician,
5,Carlos Slim Helu,$68 Billion,68000000000,Mexican,groupo carso,Mega conglomerate,conglomerate,
6,David Koch,$50 Billion,50000000000,American,koch industries,investing,"businessman who had a net worth of $50 billion dollars. David Koch was born May 3, 1940 in Wichita, Kansas",
7,Charles Koch,$50 Billion,50000000000,American,koch industries,investing,"Co-owner, chairman of the board, and CEO",
8,Larry Ellison,$48 Billion,48000000000,American,oracle,tech conglomerate,Tech Founder of Oracle,
9,Wang Jianlin,$46 Billion,46000000000,Chinese,Dallan Wanda Group,real estate,real estate developer and movie theater operator,
10,Jeff Bezos,$43.5 Billion,43500000000,American,amazon,retail,Tech Founder of Amazon,
11,Mark Zuckerberg,$43 Billion,43000000000,American,facebook,communications,Tech Founder of Facebook,
12,Ingvar Kamprad,$42.5 Billion,42500000000,Swedish,ikea,retail,founder of ikea,
13,Christy Walton,$41 Billion,41000000000,American,walmart,retail,heir of walmart,
14,Jim Walton,$40 Billion,40000000000,American,walmart,retail,heir of walmart,
15,S Robson Walton,$38.5 Billion,38500000000,American,walmart,retail,heir of walmart,
16,Bernard Arnault,$37.2 Billion,37200000000,French,LVMH,luxury goods conglomerate,billionaire who has a net worth of $37.2 billion dollars. Bernard Arnault's net worth makes,
17,Alice Walton,$37.1 Billion,37100000000,American,walmart,retail,heir of walmart,
18,Jack Ma,$37.1 Billion,37100000000,Chinese,alibaba,retail,tech founder and CEO of the Alibaba Group,
19,Liliane Bettencourt,$37 Billion,37000000000,French,loreal,,"Paris born businesswoman, philanthropist, heiress, and socialite who has a net worth of $37 billion dollars.",
20,Larry Page,$36.7 Billion,36700000000,American,google,tech conglomerate,billionaire entrepreneur who has a net worth of $36.7 billion dollars. Larry Page is the co-founder and current CEO,
21,Michael Bloomberg,$36.5 Billion,36500000000,American,bloomberg,,politician and entrepreneur who has a net worth of $36.5 billion. Michael Bloomberg,
22,Sergey Brin,$36 Billion,36000000000,Russian-born American,google,tech conglomerate,computer scientist and internet entrepreneur who has a net worth of $36 billion dollars. Sergey Brin,
23,Li Ka-shing,$34 Billion,34000000000,Chinese,CK Hutchison Holdings,,"Chairman of the Board of CK Hutchison Holdings as of 2015; through it, he is the world's largest operator of container terminals and the world's largest health and beauty retailer",
24,King of Thailand,$30 Billion,30000000000,Thai,,,"King of Thailand, owns land, telecommunications, and media outlets",
25,Prince Alwaleed Bin Talal Alsaud,$30 Billion,30000000000,Saudi,Kingdom Holding Company,,"business magnate, investor and philanthropist who has a net worth of",
26,Stefan Persson,$28.9 Billion,28900000000,Swedish,,,business magnate who has a net worth of $28.9 billion dollars. Stefan Persson has accumulated,
27,George Soros,$28.5 Billion,28500000000,Hungarian-American,,,"businessman, philanthropist, stock investor, currency speculator, and social activist, who has a net worth of $28.5 billion.",
28,The Mars Family,$28.05 Billion,28050000000,American,,,family of entrepreneurs who has a net worth of $28.05 billion. One of,
29,Jorge Paulo Lemann,$26.9 Billion,26900000000,Swiss-Brazilian,,,"banker who has a net worth of $26.9 billion. Jorge Paulo Lemann was born August 26, 1939. Jorge Paulo Lemann",
30,Sheldon Adelson,$25.9 Billion,25900000000,American,,,billionaire businessman who has a net worth of $25.9 billion dollars. Sheldon Adelson,
31,John Mars,$24.4 Billion,24400000000,American,,,Wyoming-based businessman who has a net worth of $24.4 billion dollars.  The son and grandson,
32,Jacqueline Mars,$24.4 Billion,24400000000,American,,,businesswoman who has a net worth of $24.4 billion. Jacqueline Mars is the daughter of,
33,Forrest Mars,$24.4 Billion,24400000000,American,,,"Was a businessman who had a net worth of $24.4 billion dollars. Forrest Edward Mars, Sr",
34,David Thomson,$23.8 Billion,23800000000,Canadian,,,"David Thomson net worth: David Thomson, the 3rd Baron Thomson of Fleet, is the Chairman of the Thomson Reuters corporation who has a net worth",
35,Forrest Mars Jr,$23.4 Billion,23400000000,American,,,"The eldest son of Forrest Mars Sr. and grandson of Frank C. Mars, founders of the American candy",
36,Phil Knight,$23 Billion,23000000000,American,,,"Chairman and co-founder of Nike Inc, who has a net worth of $23 billion. Phil Knight got his start",
37,Maria Franca Fissolo,$23 Billion,23000000000,Italian,,,businesswoman who has a net worth of $23 billion. Maria Franca Fissolo is,
38,Maria-Elisabeth & Georg Schaeffler,$23 Billion,23000000000,German,,,Mother-and-son business personalities who have a net worth of $23 billion. Maria Elisabeth,
39,Leonardo Del Vecchio,$22.8 Billion,22800000000,Italian,,,businessman who has a net worth of $22.8 billion. Leonardo Del Vecchio is the founder,
