price,ipath,areaname,rating,citydistance,title,canonical,photo,resultsType,latitude,longitude,color
6,33407,"Santa Cruz de la Sierra, Santa Cruz, Bolivia",74,,Residencial Ikandire,http://www.trivago.com/bolivia-33407/hotel,//imgec.trivago.com/itemimages/21/97/2197162_v1_isq.jpeg,Country - Central and South America (794 Hotels),-17.832178,-63.216434,green
6,33772,"Barinas, Venezuela",,,Los Guasimitos,http://www.trivago.com/venezuela-33772/hotel,//imgec.trivago.com/itemimages/18/54/1854661_v1_isq.jpeg,Country - Central and South America (791 Hotels),8.6645,-70.24287,green
7,42695,"Prague,",76,1,Sokolska Youth,http://www.trivago.com/prague-42695/hotel,//imgec.trivago.com/itemimages/11/16/1116199_v1_isq.jpeg,"City - Prague, Czech Republic (2786 Hotels)",50.074722,14.429392,green
7,42695,"Prague,",76,1,Sokolska Youth,http://www.trivago.com/prague-42695/hotel,//imgec.trivago.com/itemimages/11/16/1116199_v1_isq.jpeg,"City - Prague, Czech Republic (2786 Hotels)",50.074722,14.429392,green
8,51247,"Mexico City,",66,1.2,Cozumel,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/41/76/4176808_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.42014,-99.14431,green
8,51247,"Mexico City,",66,1.2,Cozumel,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/41/76/4176808_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.42014,-99.14431,green
9,51247,"Mexico City,",70,1.2,Marsella,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/22/56/2256024_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.450869,-99.13148,green
9,51247,"Mexico City,",70,1.2,Marsella,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/22/56/2256024_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.450869,-99.13148,green
10,33658,"Zorritos, Tumbes, Peru",78,,Thalassa,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/32/51/3251622_v4_isq.jpeg,Country - Central and South America (5183 Hotels),-3.66675,-80.64222,green
10,51247,"Mexico City,",75,0.4,Principal,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/98/02/980245_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.432873,-99.138535,green
11,31030,"Stalis, Crete, Greece",78,,Memories,http://www.trivago.com/greece-31030/hotel,//imgec.trivago.com/itemimages/18/86/1886389_v15_isq.jpeg,Country - Europe (31482 Hotels),35.29243,25.460815,green
11,33554,"Medell�n, Antioquia, Colombia",70,,Florida Nueva,http://www.trivago.com/colombia-33554/hotel,//imgec.trivago.com/itemimages/32/41/3241984_v1_isq.jpeg,Country - Central and South America (7628 Hotels),6.251694,-75.588356,green
11,34227,"Absecon, New Jersey, USA",59,,Superlodge,http://www.trivago.com/usa-34227/hotel,//imgec.trivago.com/itemimages/35/99/359986_v1_isq.jpeg,Country - North America (116818 Hotels),39.435074,-74.51648,green
11,34227,"Absecon, New Jersey, USA",59,,Superlodge,http://www.trivago.com/usa-34227/hotel,//imgec.trivago.com/itemimages/35/99/359986_v1_isq.jpeg,Country - North America (116818 Hotels),39.435074,-74.51648,green
11,51247,"Mexico City,",73,1.1,Hotel Polly,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/24/72/2472548_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.43936,-99.14967,green
11,51247,"Mexico City,",73,1.1,Hotel Polly,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/24/72/2472548_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.43936,-99.14967,green
12,33658,"Cusco, Peru",78,,Casa Real,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/52/13/5213230_isq.jpeg,Country - Central and South America (5183 Hotels),-13.522427,-71.97248,green
12,51247,"Mexico City,",73,0.7,Pension Zocalo,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/32/46/3246254_v1_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.426662,-99.13945,green
12,51247,"Mexico City,",69,1.8,La Selva,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/23/11/2311670_v1_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.408941,-99.12671,green
12,51247,"Mexico City,",73,0.7,Pension Zocalo,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/32/46/3246254_v1_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.426662,-99.13945,green
12,51247,"Mexico City,",69,1.8,La Selva,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/23/11/2311670_v1_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.408941,-99.12671,green
13,51247,"Mexico City,",67,0.4,Isabel,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/22/22/2222442_v1_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.430002,-99.13686,green
13,51247,"Mexico City,",67,0.4,Isabel,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/22/22/2222442_v1_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.430002,-99.13686,green
14,33658,"Huanchaco, La Libertad, Peru",80,,My Friend Surf  ,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/28/77/2877747_isq.jpeg,Country - Central and South America (5183 Hotels),-8.08258,-79.11978,green
14,33658,"Arequipa, Peru",82,,Orange Enjoy,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/39/74/3974626_v2_isq.jpeg,Country - Central and South America (5183 Hotels),-16.394197,-71.5366,green
14,33658,"Puno, Peru",69,,Hostal Qo�i Wasi,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/32/28/3228696_v1_isq.jpeg,Country - Central and South America (5183 Hotels),-15.836747,-70.026276,green
14,51247,"Mexico City,",82,26.8,Costa Azul,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/31/11/3111186_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19,-99,green
14,51247,"Mexico City,",66,1.7,Montemar,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/38/20/3820268_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.43752,-99.15863,green
14,51247,"Mexico City,",82,26.8,Costa Azul,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/31/11/3111186_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19,-99,green
14,51247,"Mexico City,",66,1.7,Montemar,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/38/20/3820268_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.43752,-99.15863,green
15,33658,"Cusco, Peru",80,,Casa Ananta,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/30/92/3092822_v2_isq.jpeg,Country - Central and South America (5183 Hotels),-13.526621,-71.96529,green
15,51247,"Mexico City,",76,0.1,P�nuco,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/16/19/1619499_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.432608,-99.13321,green
15,51247,"Mexico City,",74,1.1,Mina,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/27/82/2782504_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.439754,-99.1493,green
15,51247,"Mexico City,",,2.2,Motel Golf - Adults Only,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/0/0_v3_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.465279,-99.1367,green
15,51247,"Mexico City,",74,1.1,Mina,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/27/82/2782504_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.439754,-99.1493,green
15,51247,"Mexico City,",,2.2,Motel Golf - Adults Only,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/0/0_v3_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.465279,-99.1367,green
16,33658,"Chiclayo, Lambayeque, Peru",79,,Marbella,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/39/57/3957474_isq.jpeg,Country - Central and South America (5183 Hotels),-6.760911,-79.83441,green
16,33658,"Cabanaconde, Arequipa, Peru",73,,Villa Pastor,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/23/47/2347990_v4_isq.jpeg,Country - Central and South America (5183 Hotels),-15.622498,-71.98102,green
16,42695,"Prague,",65,1.9,Kotva,http://www.trivago.com/prague-42695/hotel,//imgec.trivago.com/itemimages/31/94/3194505_v1_isq.jpeg,"City - Prague, Czech Republic (2786 Hotels)",50.111607,14.451173,green
16,42695,"Prague,",65,1.9,Kotva,http://www.trivago.com/prague-42695/hotel,//imgec.trivago.com/itemimages/31/94/3194505_v1_isq.jpeg,"City - Prague, Czech Republic (2786 Hotels)",50.111607,14.451173,green
16,51247,"Mexico City,",86,0.1,Mexico City Hostel,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/11/72/1172555_v3_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.435642,-99.13392,green
16,51247,"Mexico City,",68,1.3,La Riviera,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/10/20/1020913_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.439388,-99.151855,green
16,51247,"Mexico City,",86,0.1,Mexico City Hostel,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/11/72/1172555_v3_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.435642,-99.13392,green
16,51247,"Mexico City,",68,1.3,La Riviera,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/10/20/1020913_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.439388,-99.151855,green
16,78619,"Porto Alegre,",84,0.8,Rocknhostel,http://www.trivago.com/porto-alegre-78619/hotel,//imgec.trivago.com/itemimages/27/48/2748206_v1_isq.jpeg,"City - Rio Grande do Sul, Brazil (207 Hotels)",-30.02776,-51.216972,green
17,33554,"Medell�n, Antioquia, Colombia",78,,Alcarav�n,http://www.trivago.com/colombia-33554/hotel,//imgec.trivago.com/itemimages/12/80/1280254_v2_isq.jpeg,Country - Central and South America (7628 Hotels),6.264172,-75.5999,green
17,33658,"Puno, Peru",77,,El Manzano,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/11/13/1113546_v1_isq.jpeg,Country - Central and South America (5183 Hotels),-15.838586,-70.02143,green
17,44337,"Rome,",75,2.9,Camping Village Roma,http://www.trivago.com/rome-44337/hotel,//imgec.trivago.com/itemimages/82/44/824461_v6_isq.jpeg,"City - Lazio, Italy (9931 Hotels)",41.886803,12.40515,green
17,51247,"Mexico City,",64,0.2,Amigo Zocalo,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/22/20/222036_v3_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.433546,-99.13068,green
17,51247,"Mexico City,",77,0.5,Diligencias,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/92/81/928167_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.4388,-99.13961,green
17,51247,"Mexico City,",77,1.5,St Llorenc Inn - Reforma,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/32/49/3249416_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.433992,-99.16756,green
17,51247,"Mexico City,",58,1.5,Centro Diana,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/38/19/3819950_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.342955,-99.18147,green
17,51247,"Mexico City,",76,0.2,La Encantada,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/32/21/3221714_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.355984,-99.16595,green
17,51247,"Mexico City,",77,1.5,St Llorenc Inn - Reforma,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/32/49/3249416_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.433992,-99.16756,green
17,51247,"Mexico City,",58,1.5,Centro Diana,http://www.trivago.com/mexico-city-51247/hotel,//imgec.trivago.com/itemimages/38/19/3819950_v2_isq.jpeg,"City - Distrito Federal, Mexico (770 Hotels)",19.342955,-99.18147,green
18,31029,"N�mes, Gard, France",73,,hotelF1 N�mes Ouest,http://www.trivago.com/france-31029/hotel,//imgec.trivago.com/itemimages/73/17/731706_v4_isq.jpeg,Country - Europe (71264 Hotels),43.815334,4.344052,green
18,31030,"Chersonissos, Crete, Greece",80,,Haris,http://www.trivago.com/greece-31030/hotel,//imgec.trivago.com/itemimages/18/86/1886229_v1_isq.jpeg,Country - Europe (31482 Hotels),35.31866,25.38846,green
18,33554,"Manizales, Caldas, Colombia",80,,Hotel Boutique del Caf�,http://www.trivago.com/colombia-33554/hotel,//imgec.trivago.com/itemimages/56/55/5655060_v1_isq.jpeg,Country - Central and South America (7628 Hotels),5.066688,-75.51959,green
18,33554,"Cali, Valle del Cauca, Colombia",84,,La Casa del Gato,http://www.trivago.com/colombia-33554/hotel,//imgec.trivago.com/itemimages/33/94/3394122_v3_isq.jpeg,Country - Central and South America (7628 Hotels),3.463224,-76.53281,green
18,33658,"Puno, Peru",73,,Presidente Inn,http://www.trivago.com/peru-33658/hotel,//imgec.trivago.com/itemimages/10/30/1030154_v2_isq.jpeg,Country - Central and South America (5183 Hotels),-15.843333,-70.02361,green
