thing,avgListPrice,medianPrice,popularity,state,statecode,county,maptype,date,avgDate,medianDate,popularityDate
ORANGE,5000000,,,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
New York,3919716,1199000,5,New York,NY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Pitkin,3880872,613750,11,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Nantucket,3707588,815000,13,Massachusetts,MA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
WALTON,3250000,,,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Teton,2316871,,2,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Dukes,2305144,535000,14,Massachusetts,MA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
San Miguel,2071961,578637,29,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Eagle,1966705,,12,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Summit,1958468,,4,Utah,UT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Marin,1912228,898750,20,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Santa Barbara,1695213,465000,16,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
San Mateo,1572305,1050000,6,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
San Francisco,1546060,1160000,,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lyman,1399999,,41,South Dakota,SD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sutton,1266650,,221,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Wheeler,1218207,,35,Oregon,OR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cherry,1200000,,26,Nebraska,NE,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Monterey,1170680,468250,21,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kings,1126423,730000,6,New York,NY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Orange,1119247,630000,3,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Armstrong,1110375,,174,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Glasscock,1089500,,219,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Blaine,1066860,,10,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
