Name,City,State,Zipcode,Latitude,Longitude,Admission Rate,SAT Average,ACT Median,Undergrad Population,In-state Tuition,Out-of-state Tuition,Tuition Difference,Diff Percent
University of Virginia-Main Campus,Charlottesville,VA,22903-2628,38.0365,-78.5026,0.2999,1362,31,13712,12668,40054,27386,316.18
University of Michigan-Ann Arbor,Ann Arbor,MI,48109,42.2761,-83.7431,0.3326,1352,30,24412,13142,40392,27250,307.35
The University of Texas at Austin,Austin,TX,78712,30.2847,-97.7373,0.4019,1262,28,38162,9798,33842,24044,345.4
College of William and Mary,Williamsburg,VA,23187-8795,37.3095,-76.731,0.3321,1358,30,5585,15463,38440,22977,248.59
University of California-Los Angeles,Los Angeles,CA,90095-1405,34.0689,-118.4439,0.2199,1289,28,25011,12697,35575,22878,280.18
University of California-Berkeley,Berkeley,CA,94720,37.8715,-122.2604,0.18,1350,30,22678,12864,35742,22878,277.85
University of California-Davis,Davis,CA,95616-8678,38.5399,-121.752,0.4521,1192,26,20388,13895,36773,22878,264.65
University of California-Santa Barbara,Santa Barbara,CA,93106,34.4155,-119.8481,0.4444,1212,27,17538,13746,36624,22878,266.43
University of California-San Diego,La Jolla,CA,92093,32.8766,-117.2378,0.375,1276,28,16496,13271,36149,22878,272.39
University of California-Irvine,Irvine,CA,92697,33.667,-117.7686,0.4239,1122,24,16223,13149,36027,22878,273.99
University of California-Riverside,Riverside,CA,92521,33.9759,-117.3311,0.62,1078,23,11436,12960,35838,22878,276.53
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,36.9973,-122.068,0.5991,1087,23,11075,13397,36275,22878,270.77
University of Florida,Gainesville,FL,32611,29.6382,-82.3612,0.4655,1272,29,32680,6263,28541,22278,455.71
Indiana University-Bloomington,Bloomington,IN,47405-7000,39.1664,-86.5269,0.7217,1198,27,29383,10209,32350,22141,316.88
University of North Carolina at Chapel Hill,Chapel Hill,NC,27599,35.9122,-79.051,0.2759,1313,30,15608,8340,30122,21782,361.18
University of Colorado Boulder,Boulder,CO,80309-0017,40.0044,-105.2671,0.8771,1192,27,23612,10347,32115,21768,310.38
Virginia Military Institute,Lexington,VA,24450-0304,37.7843,-79.5258,0.4732,1141,25,1300,14404,35392,20988,245.71
University of Vermont,Burlington,VT,05405-0160,44.4793,-73.1981,0.7755,1190,27,8618,15718,36646,20928,233.15
Michigan State University,East Lansing,MI,48824-1046,42.7248,-84.4736,0.6865,1158,26,34342,12862,33750,20888,262.4
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,46202-5143,39.7729,-86.1722,0.6958,1013,22,20211,8756,29571,20815,337.72
University of Oregon,Eugene,OR,97403,44.0445,-123.074,0.7417,1108,25,14076,9763,29788,20025,305.11
University of Washington-Seattle Campus,Seattle,WA,98195-4550,47.6562,-122.3131,0.5523,1234,28,25987,12397,31971,19574,257.89
University of Washington-Tacoma Campus,Tacoma,WA,98402-3100,47.245,-122.4375,0.8523,963,20,1406,11902,31476,19574,264.46
University of Washington-Bothell Campus,Bothell,WA,98011-8246,47.7607,-122.1915,0.7568,1014,21,1298,11911,31485,19574,264.34
Florida Gulf Coast University,Fort Myers,FL,33965-6565,26.4643,-81.7736,0.6579,1024,22,2977,6118,25440,19322,415.82
Georgia Institute of Technology-Main Campus,Atlanta,GA,30332-0530,33.7737,-84.396,0.5493,1352,30,10745,10650,29954,19304,281.26
University of Maryland-College Park,College Park,MD,20742,38.9886,-76.9397,0.4699,1310,,24638,9162,28348,19186,309.41
University of Connecticut,Storrs,CT,6269,41.8082,-72.2495,0.5366,1233,28,13251,12022,30970,18948,257.61
University of Connecticut-Tri-Campus,Waterbury,CT,6702,41.5547,-73.0388,0.4207,1015,22,1826,10056,29004,18948,288.42
University of Connecticut-Stamford,Stamford,CT,06901-2315,41.0559,-73.5427,0.4107,1017,21,997,10066,29014,18948,288.24
University of Connecticut-Avery Point,Groton,CT,06340-6097,41.3172,-72.0639,0.594,1020,24,607,10056,29004,18948,288.42
University of Iowa,Iowa City,IA,52242-1316,41.6607,-91.5357,0.8023,1208,27,19284,8061,26931,18870,334.09
Purdue University-Main Campus,West Lafayette,IN,47907-2040,40.4282,-86.9144,0.6042,1211,27,32669,9992,28794,18802,288.17
Citadel Military College of South Carolina,Charleston,SC,29409,32.797,-79.9614,0.8041,1080,23,1995,10838,29639,18801,273.47
George Mason University,Fairfax,VA,22030-4444,38.8309,-77.3079,0.6203,1155,26,15185,9908,28592,18684,288.57
The University of Tennessee-Knoxville,Knoxville,TN,37996,35.9551,-83.9297,0.7249,1199,27,20009,11194,29684,18490,265.18
University of Georgia,Athens,GA,30602,33.9435,-83.3738,0.5608,1247,28,24213,10262,28472,18210,277.45
Massachusetts College of Art and Design,Boston,MA,02115-5882,42.3369,-71.0995,0.6982,1081,25,2221,10400,28600,18200,275
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,30.5521,-91.1967,0.7623,1162,26,26121,7873,25790,17917,327.58
Georgia College and State University,Milledgeville,GA,31061,33.0828,-83.232,0.6798,1126,24,3976,8790,26690,17900,303.64
University of Delaware,Newark,DE,19716,39.6798,-75.7536,0.6468,1178,27,16110,12112,29932,17820,247.13
University of South Carolina-Columbia,Columbia,SC,29208,34.0062,-81.0377,0.606,1200,27,15266,10816,28528,17712,263.76
University of Hawaii at Manoa,Honolulu,HI,96822-2217,21.2926,-157.8166,0.8009,1087,24,11721,9904,27472,17568,277.38
Virginia Commonwealth University,Richmond,VA,23284-2512,37.5476,-77.4536,0.6913,1102,24,16505,12002,29473,17471,245.57
Clemson University,Clemson,SC,29634,34.6773,-82.8345,0.5787,1259,29,14066,13054,30488,17434,233.55
University of Maine,Orono,ME,4469,44.896,-68.6738,0.8106,1085,24,8220,10600,27970,17370,263.87
University of Arizona,Tucson,AZ,85721-0066,32.2321,-110.9508,0.7692,1106,24,26404,10391,27383,16992,263.53
Texas A & M University-College Station,College Station,TX,77843-1244,30.5963,-96.3067,0.6947,1182,26,36229,8506,25126,16620,295.39
Auburn University,Auburn University,AL,36849,32.6002,-85.4924,0.8274,1215,27,18326,9852,26364,16512,267.6
College of Charleston,Charleston,SC,29424-0001,32.7831,-79.9373,0.7031,1165,26,9750,10626,27090,16464,254.94
